,SITE_NAME,TREE_SPECIES,TREE_STATUS,SIGNIFICANT_TREE_NO,HERITAGE_TREE_NO,HERITAGE_PLAQUE_NO,OWNER,CRE_DATE,MOD_DATE,Latitude,Longitude
79,King George Blvd - 1279,English Oak,Operating,084,Yes,,City of Surrey,,20110318,49.026265,-122.769945
80,King George Blvd - 3329,English Oak,Operating,041,Yes,,City of Surrey,,20110318,49.062030,-122.814268
81,King George Blvd - 2713,English Oak,Operating,368,Yes,,City of Surrey,20100224,20110318,49.051175,-122.800819
82,King George Blvd - 2680,English Oak,Operating,364,Yes,,City of Surrey,20100224,20110318,49.051127,-122.800080
83,King George Blvd - 2690,English Oak,Operating,365,Yes,,City of Surrey,20100224,20110318,49.051350,-122.800351
84,King George Blvd - 2700,English Oak,Operating,366,Yes,,City of Surrey,20100224,20110318,49.051568,-122.800628
85,King George Blvd - 2710,English Oak,Operating,367,Yes,,City of Surrey,20100224,20110318,49.051763,-122.800878
86,King George Blvd - 2770,English Oak,Operating,375,Yes,,City of Surrey,20100225,20110318,49.052298,-122.801589
87,King George Blvd - 2780,English Oak,Operating,376,Yes,,City of Surrey,20100225,20110318,49.052431,-122.801761
88,King George Blvd - 2790,English Oak,Operating,377,Yes,,City of Surrey,20100225,20110318,49.052746,-122.802155
89,King George Blvd - 2800,English Oak,Operating,378,Yes,,City of Surrey,20100225,20110318,49.052945,-122.802408
90,King George Blvd - 2751,English Oak,Operating,369,Yes,,City of Surrey,20100225,20110318,49.051870,-122.801668
91,King George Blvd - 2755,English Oak,Operating,370,Yes,,City of Surrey,20100225,20110318,49.052067,-122.801899
92,King George Blvd - 2759,English Oak,Operating,371,Yes,,City of Surrey,20100225,20110318,49.052240,-122.802123
93,King George Blvd - 2763,English Oak,Operating,372,Yes,,City of Surrey,20100225,20110318,49.052430,-122.802357
94,King George Blvd - 2765,English Oak,Operating,373,Yes,,City of Surrey,20100225,20110318,49.052611,-122.802585
95,King George Blvd - 2769,English Oak,Operating,374,Yes,,City of Surrey,20100225,20110318,49.052790,-122.802801
96,King George Blvd - 1269,English Oak,Operating,080,Yes,,City of Surrey,,20110318,49.025838,-122.769420
97,King George Blvd - 1265,English Oak,Operating,079,Yes,,City of Surrey,,20110318,49.025645,-122.769165
98,King George Blvd - 1250,English Oak,Operating,075,Yes,,City of Surrey,20100331,20110318,49.025331,-122.768239
99,King George Blvd - 1259,English Oak,Operating,078,Yes,,City of Surrey,,20110318,49.025425,-122.768913
100,King George Blvd - 1985,English Oak,Operating,002,Yes,,City of Surrey,,20110318,49.037814,-122.783574
101,King George Blvd - 2227,English Oak,Operating,315,Yes,,City of Surrey,20100224,20110318,49.042344,-122.789788
102,King George Blvd - 2225,English Oak,Operating,314,Yes,,City of Surrey,20100224,20110318,49.042173,-122.789613
103,Port Kells Park - 19340 88 Ave,English Oak,Operating,207,119,Group 14,City of Surrey,,20110318,49.161730,-122.687550
104,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152702,-122.701668
105,18385 80 Ave.,White Ash,Operating,251,,,City of Surrey,20110315,20110316,49.148266,-122.712525
106,12973 56 Ave.,Copperleaf European Beech,Operating,248,,,City of Surrey,20110316,20110316,49.105159,-122.863032
107,8850 Harvie Road,Douglas Fir,Operating,249,,,City of Surrey,20110316,20110316,49.163908,-122.696544
108,8850 Harvie Road,Douglas Fir,Operating,250,,,City of Surrey,20110316,20110316,49.163864,-122.696310
109,Port Kells Park - 19340 88 Ave,Douglas Fir,Operating,235,147,Group 14,City of Surrey,,20110318,49.159840,-122.686538
110,Dart's Hill Garden Park - 1660 168 St,Incense Cedar,Operating,108,019,Group 1,City of Surrey,,20110318,49.032417,-122.756728
111,Port Kells Park - 19340 88 Ave,English Oak,Operating,222,134,Group 14,City of Surrey,,20110318,49.162388,-122.685987
112,The Glades - 561 172 St,Western redcedar,Operating,169,081,Group 8,City of Surrey,,20110318,49.011986,-122.747405
113,Elgin Recreation Centre - 3530 144 St,Various,Operating,047,,,City of Surrey,,20110318,49.065947,-122.822249
114,Mound Farm Park - 5288 168 St,Western Redcedar,Operating,157,068,Group 7,City of Surrey,,20110318,49.097657,-122.745902
115,Port Kells Park - 19340 88 Ave,English Oak,Operating,219,131,Group 14,City of Surrey,,20110318,49.162772,-122.686121
116,Dart's Hill Garden Park - 1660 168 St,California Bay Tree,Operating,121,032,Group 1,City of Surrey,,20110318,49.032342,-122.754991
117,Semiahmoo Trail,Various,Operating,202,,,City of Surrey,,20110318,49.057227,-122.814998
118,12649 25 Ave,Coulter Pine,Operating,185,098,,Private,,20110318,49.048488,-122.871359
119,Colebrook Park - 13275 Colebrook Rd,English Oak,Operating,200,113,Group 12,City of Surrey,,20110318,49.096307,-122.855591
120,Dart's Hill Garden Park - 1660 168 St,Weeping Giant Sequoia,Operating,123,034,Group 1,City of Surrey,,20110318,49.032063,-122.755252
121,St. Oswald's Church - 19016 96 Ave,Douglas Fir,Operating,127,038,Group 2,City of Surrey,,20110318,49.176417,-122.695928
122,Dart's Hill Garden Park - 1660 168 St,China Fir,Operating,122,033,Group 1,City of Surrey,,20110318,49.031828,-122.754419
123,Port Kells Library - 18885 88 Ave,Douglas Fir,Operating,243,155,30,City of Surrey,,20110318,49.162934,-122.699713
124,Elgin Community Hall - 14250 Crescent Rd,Various,Operating,046,,,City of Surrey,,20110318,49.066953,-122.827283
125,Redwood Park - 17900 20 Ave,Wych Elm,Operating,148,058,Group 5,City of Surrey,,20110318,49.034071,-122.727674
126,Redwood Park - 17900 20 Ave,English Walnut,Operating,143,053,Group 5,City of Surrey,,20110318,49.034287,-122.728070
127,St. Oswald's Church - 19016 96 Ave,Douglas Fir,Operating,126,037,Group 2,City of Surrey,,20110318,49.176354,-122.695928
128,Robert Dougal MacKenzie House - 5418 184 St,Various,Operating,055,,,Private,,20110318,49.100888,-122.712130
129,Christ Church & Cemetery - 16631 Old McLellan Rd,Various,Operating,045,,,Synod of the Diocese of New Westminster,,20110318,49.108747,-122.762041
130,Crescent Road - as per Bylaw No. 7716 (1983),Various,Operating,049,,,City of Surrey,,20110318,49.054069,-122.875149
131,18029 Hwy 10 - Bourassa Property,English Walnut,Operating,178,091,,Private,,20110318,49.104968,-122.721491
132,Green Timbers,Babylon Weeping Willow,Decommissioned,,168,Group 9,City of Surrey,,20110325,49.178997,-122.829410
133,19083 68b Ave,White Ash,Operating,303,,,City of Surrey,20110323,20110328,49.127792,-122.694428
134,Dart's Hill Garden Park - 1660 168 St,White Mulberry,Operating,112,023,Group 1,City of Surrey,,20110318,49.031965,-122.755307
135,Avenue of Trees - 16600 blk Old McLellan Rd,Various,Operating,054,,,City of Surrey,,20110318,49.108468,-122.761666
136,7572 146 St (53A - Greenbelt),English Walnut,Operating,182,095,18,City of Surrey,,20110318,49.140664,-122.816868
137,Dart's Hill Garden Park - 1660 168 St,Corkscrew Hazel,Operating,109,020,Group 1,City of Surrey,,20110318,49.032353,-122.756249
138,10375 133 St,Giant Sequoia,Operating,,002,,Private,,20110318,49.191038,-122.854684
139,Redwood Park - 17900 20 Ave,Sweet Chestnut,Operating,141,051,Group 5,City of Surrey,,20110318,49.035532,-122.729431
140,Hazelmere Cemetery - 19184 16 Ave,Bigleaf Maple,Operating,194,106,25,City of Surrey,,20110318,49.030915,-122.692423
141,St. Oswald's Church - 19016 96 Ave,Douglas Fir,Operating,125,036,Group 2,City of Surrey,,20110318,49.176273,-122.695915
142,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152369,-122.701670
143,8495 144 St,Sugar Maple,Operating,253,114,Group 13,City of Surrey,,20110318,49.157342,-122.823513
144,Surrey Archives-1912 Municipal Hall - 17671 56 Ave,Various,Operating,043,,,City of Surrey,,20120718,49.104404,-122.733299
145,Semiahmoo Trail,Various,Operating,202,,,City of Surrey,,20110318,49.048821,-122.806982
146,Crescent Road - as per Bylaw No. 7716 (1983),Various,Operating,049,,,City of Surrey,,20110318,49.054128,-122.863173
147,Peace Arch Park - Hwy 99 @ Canada-US border,European Beech,Operating,131,041,Group 3,Province of BC,,20110318,49.003162,-122.755941
148,Colebrook Park - 13275 Colebrook Rd,Purple Beech,Operating,198,111,Group 12,City of Surrey,,20110318,49.096396,-122.854358
149,Port Kells Park - 19340 88 Ave,Hedge Maple,Operating,215,127,Group 14,City of Surrey,,20110318,49.162773,-122.686637
150,13642 55a Ave,Douglas Fir,Operating,187,100,29,City of Surrey,,20110318,49.102960,-122.845242
151,Port Kells Community Hall - 18918 88 Ave,Douglas Fir,Operating,240,152,Group 15,City of Surrey,,20110318,49.162390,-122.698461
152,Peace Arch Park - Hwy 99 @ Canada-US border,Lawson's Cypress,Operating,138,048,Group 3,Province of BC,,20110318,49.005330,-122.760565
153,Stewart House / Ward's Marina - 13723 Crescent Rd,Various,Operating,050,,,City of Surrey,,20110318,49.065246,-122.841828
154,2865 164 St,Weeping Willow,Operating,102,013,15,Private,,20110318,49.054445,-122.768569
155,18600 blk Hwy #1 - south side,Douglas Fir (dead),Operating,191,,,Province of BC,,20110318,49.174435,-122.708919
156,Port Kells Elementary School - 19076 88 Ave,Douglas Fir,Operating,245,157,Group 16,School District #36,,20110318,49.161894,-122.694384
157,8261 188 St,Sugar Maple,Operating,247,159,Group 17,City of Surrey,,20110318,49.152243,-122.701671
158,Port Kells Park - 19340 88 Ave,Hedge Maple,Operating,213,125,Group 14,City of Surrey,,20110318,49.162774,-122.686847
159,Port Kells Park - 19340 88 Ave,Common Beech,Operating,226,138,Group 14,City of Surrey,,20110318,49.161926,-122.685997
160,Redwood Park - 17900 20 Ave,Golden Lawson's Cypress,Operating,142,052,Group 5,City of Surrey,,20110318,49.034736,-122.727616
161,Port Kells Park - 19340 88 Ave,Douglas Fir,Operating,237,149,Group 14,City of Surrey,,20110318,49.159760,-122.686607
162,12691 14 Ave,Beech,Operating,190,104,23,Private,,20110318,49.028528,-122.870291
163,12237 91a Ave,Western Redcedar,Operating,201,,,Private,,20110318,49.169707,-122.883872
164,Redwood Park - 17900 20 Ave,Red Oak,Operating,145,055,Group 5,City of Surrey,,20110525,49.034798,-122.727705
