,ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
12289,0,1,4,Tee,1000297569,8207,1372606820,,,55.65,,,In Service,,1985,Surrey,,,,,,,,,19891205,20170320,49.126428,-122.841633
12290,0,1,4,Tee,1000312227,6470,1382707198,,,67.17,,,In Service,,1975,Surrey,,,,,,,,,19890721,20170320,49.133526,-122.838788
12291,,1,0,Cap,1001823283,,1383907213,150,CAS,,,,In Service,1211-5050-00,2014,Surrey,,,Final AB,,,,,,20150520,20170320,49.133529,-122.838476
12292,0,1,4,Tee,1000314535,2795,1680803085,,,16.92,,,In Service,,1983,Surrey,,,,,,,,,19890203,20170320,49.058678,-122.756986
12293,,1,1,Cross,1001796287,,1898703572,350,DI,,,,In Service,7812-0159-00,2015,Surrey,,,Final AB,,,,,,20151204,20170322,49.067359,-122.696922
12294,,1,1,Cross,1001796305,,1887403572,,DI,,38.38,,In Service,7812-0159-00,2015,Surrey,,,Final AB,,,,,,20151208,20170322,49.067370,-122.700025
12295,,1,2,Reducer,1001796309,,1887403572,350,DI,,,,In Service,7812-0159-00,2015,Surrey,,350X150 Reducer,Final AB,,,,,,20151208,20170322,49.067370,-122.700031
12296,0,1,4,Tee,1000301923,8956,1359702760,,,69.44,,,In Service,,1982,Surrey,,,,,,,,,19900221,20171023,49.052951,-122.845421
12297,0,1,4,Tee,1000314423,7845,1293206806,,,84.23,,,In Service,,1975,Surrey,,,,,,,,,19891030,20160323,49.126455,-122.863492
12298,0,1,4,Tee,1000301883,9396,1359602863,,,46.3,,,In Service,,1968,Surrey,,,,,,,,,19900213,20171023,49.055124,-122.845396
12299,,1,3,Tap,1001709300,,1398906018,350,DI,,70.19,,In Service,7811-0247-00,2015,Surrey,,,Final AB,,,,,,20170731,20171002,49.111892,-122.834428
12300,0,1,1,Cross,1000315633,2741,1418906003,350,DI,68.12,,,In Service,,1994,Surrey,,,,,,,,,19910508,20171002,49.111887,-122.828893
12301,0,1,4,Tee,1000297518,3753,1374006733,,,50.27,,,In Service,,1993,Surrey,,,,,,,,,19930729,20171002,49.125110,-122.841218
12302,0,1,4,Tee,1000297505,10331,1374006682,,,47.05,,,In Service,,1992,Surrey,,,,,,,,,19920507,20171002,49.124195,-122.841209
12303,0,1,4,Tee,1000310445,9193,1368702967,,,44.5,,,In Service,,1977,Surrey,,,,,,,,,19900223,20171023,49.056703,-122.842930
12304,0,1,4,Tee,1000301890,9406,1359402955,,,40.42,,,In Service,,1984,Surrey,,,,,,,,,19900214,20171023,49.056758,-122.845440
12305,,1,0,Cap,1001952596,,1359602970,150,,,,,In Service,,2017,Surrey,,FT02505,Final AB,,,,,,20171023,20171023,49.056758,-122.845429
12306,,0,3,Tap,1001952598,,1359502968,350,DI,,40.66,,In Service,,2017,Surrey,,FT02505,Final AB,,,,,,20171023,20171023,49.056718,-122.845440
12307,0,1,4,Tee,1000301574,2232,1279501641,,,73.93,,,In Service,,1980,Surrey,,,,,,,,,19910118,20171023,49.033040,-122.867492
12308,0,1,4,Tee,1000301535,9859,1279101641,,,73.91,,,In Service,,1979,Surrey,,,,,,,,,19900320,20171023,49.033040,-122.867623
12309,,1,0,Cap,1001952601,,1279401658,150,,,,,In Service,,2017,Surrey,,FT02506,Final AB,,,,,,20171023,20171023,49.033040,-122.867561
12310,0,1,4,Tee,1000301531,9851,1279401659,,,73.48,,,In Service,,1980,Surrey,,,,,,,,,19900320,20171023,49.033069,-122.867573
12311,0,1,4,Tee,1000301532,9853,1279201549,,,74.75,,,In Service,,1981,Surrey,,,,,,,,,19900320,20171023,49.031379,-122.867594
12312,0,1,1,Cross,1000315415,9873,1279301943,,,66.6,,,In Service,,1973,Surrey,,,,,,,,,19900320,20171023,49.038496,-122.867554
12313,,1,0,Cap,1001952605,,1280201959,200,DI,,,,In Service,,2017,Surrey,,FT02507,,,,,,,20171023,20171023,49.038495,-122.867325
12314,0,1,4,Tee,1000301511,9791,1279301949,,,66.25,,,In Service,,1979,Surrey,,,,,,,,,19900319,20171023,49.038609,-122.867553
