,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
201,A019248    ,Boston Pizza #61,15125 100 Ave,Surrey,Restaurant,49.18440821,-122.803407
202,A016601    ,Boston Pizza #62,1956 152 St,Surrey,Restaurant,49.03760224,-122.80095989
203,A020094    ,Boston Pizza #73,7488 King George Blvd,Surrey,Restaurant,49.13853724,-122.84525515
204,DMIL-AC3L9S,Boulevard Shelter,10677 Whalley Blvd,Surrey,Restaurant,49.19652835,-122.84266346
205,ACAK-9BEUV9,Bourbon Street Grill (Guildford),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
206,SDFO-8NWMR4,Bowling Centre,5814 176A St,Surrey,Restaurant,49.10794053,-122.7334718
207,GEDS-6HPQAD,Bozzini's Restaurant (Surrey),13655 104 Ave,Surrey,Restaurant,49.19173246,-122.84373117
208,NDAA-9KDS9C,Branch 8 Canteen,2290 152 St,Surrey,Restaurant,49.04347012,-122.80094784
209,SWOD-A7W29Q,Branches Coffee House,1420 172 St,Surrey,Restaurant,49.02738135,-122.7421519
210,SDFO-8C524N,Bread Garden Catering,12117 86 Ave,Surrey,Restaurant,49.15976699,-122.8871212
211,SDFO-8MELM2,Breakthrough Lodge,2695 McBride Ave,Surrey,Restaurant,49.05179389,-122.88395292
212,GEDS-66JRRA,Brewster's Pub,7380 King George Blvd,Surrey,Restaurant,49.13673593,-122.84521073
213,ACAK-98UPSS,Bridgeview Community Centre,11475 126A St,Surrey,Restaurant,49.2114071,-122.87105494
214,A018023    ,Bridgeview Pizza,11267 125A St,Surrey,Restaurant,49.2073838,-122.87468775
215,NDAA-9PMT9A,Bright Path - Clayton Hills,7239 192 St,Surrey,Restaurant,49.13410743,-122.69113526
216,GEDS-7VFVD6,Brookside Lodge,19550 Fraser Hwy,Surrey,Restaurant,49.11414136,-122.68094401
217,SHEN-A82PUK,Bros BBQ,13652 Grosvenor Rd,Surrey,Restaurant,49.19979671,-122.84378169
218,SWOD-A4NQL4,Browns Socialhouse (Guildford),15146 100 Ave,Surrey,Restaurant,49.18396932,-122.80224523
219,SPLH-A9VTH3,Browns Socialhouse (Surrey Centre),9666 King George Blvd,Surrey,Restaurant,49.1787182,-122.84525863
220,NDAA-9E4S4N,Browns Socialhouse Semiahmoo,1601 152 St,Surrey,Restaurant,49.03116992,-122.80130881
221,A013601    ,Brownsville Bar Marine Pub,11940 Old Yale Rd,Surrey,Restaurant,49.20355939,-122.89170267
222,SDFO-8MYVG8,Bubble 88,10209 King George Blvd,Surrey,Restaurant,49.188066,-122.84605925
223,SHEN-AP8QHC,Bubble Waffle Cafe (Surrey),10090 152 St,Surrey,Restaurant,49.18575463,-122.80058146
224,GEDS-69FS3G,Bubble World (Surrey),10090 152 St,Surrey,Restaurant,49.18575463,-122.80058146
225,GEDS-7BLPWS,Bucky's West Coast Pizzeria,15562 24 Ave,Surrey,Restaurant,49.04542515,-122.79137674
226,NDAA-9CKQAH,Burger King #03341,10344 King George Blvd,Surrey,Restaurant,49.19041518,-122.84507046
227,A016919    ,Burger King #08302,7488 King George Blvd,Surrey,Restaurant,49.13853724,-122.84525515
228,GEDS-6S3UVB,Burger King #15397,12525 88 Ave,Surrey,Restaurant,49.16333834,-122.87572905
229,PNEL-8R5UF2,Burger King #18301,10153 King George Hwy,Surrey,Restaurant,49.18592247,-122.84584777
230,PNEL-8Q9REB,Burger King #18332,10355 120 St,Surrey,Restaurant,49.19095424,-122.89075692
231,SHEN-9PQSQD,Buy-Low Foods #080072 - Bakery/Deli,14865 108 Ave,Surrey,Restaurant,49.19944197,-122.809511
232,SPLH-ASQTDV,C-Lovers Fish and Chips (South Surrey),2655 King George Blvd,Surrey,Restaurant,49.05031497,-122.79990787
233,SHEN-A79QF4,Cabizerra Bistro,14775 108 Ave,Surrey,Restaurant,49.19888515,-122.813407
234,GEDS-6X9W53,Cactus Club Cafe (South Point),15079 32 Ave,Surrey,Restaurant,49.06028082,-122.80492472
