,CRE_DATE,MOD_DATE,ROADEDGE_TYPE,ROADEDGE_TYPE_2
13232,,20140106,8,"Paved, 2 Lane, Undivided"
13233,,20140106,8,"Paved, 2 Lane, Undivided"
13234,,20140106,8,"Paved, 2 Lane, Undivided"
13235,,20140107,8,"Paved, 2 Lane, Undivided"
13236,,20140107,8,"Paved, 2 Lane, Undivided"
13237,,20140108,8,"Paved, 2 Lane, Undivided"
13238,,20140109,8,"Paved, 2 Lane, Undivided"
13239,20140109,20140109,8,"Paved, 2 Lane, Undivided"
13240,,20140109,8,"Paved, 2 Lane, Undivided"
13241,,20140113,8,"Paved, 2 Lane, Undivided"
13242,,20140114,8,"Paved, 2 Lane, Undivided"
13243,,20140114,8,"Paved, 2 Lane, Undivided"
13244,,20140114,8,"Paved, 2 Lane, Undivided"
13245,,20140114,8,"Paved, 2 Lane, Undivided"
13246,,20140114,4,Lane
13247,,20140114,8,"Paved, 2 Lane, Undivided"
13248,,20140114,4,Lane
13249,,20140114,8,"Paved, 2 Lane, Undivided"
13250,,20140114,8,"Paved, 2 Lane, Undivided"
13251,,20140114,8,"Paved, 2 Lane, Undivided"
13252,,20140115,8,"Paved, 2 Lane, Undivided"
13253,,20140115,8,"Paved, 2 Lane, Undivided"
13254,,20140115,8,"Paved, 2 Lane, Undivided"
13255,,20140115,8,"Paved, 2 Lane, Undivided"
13256,20121218,20140115,8,"Paved, 2 Lane, Undivided"
13257,,20140115,8,"Paved, 2 Lane, Undivided"
13258,,20140117,8,"Paved, 2 Lane, Undivided"
13259,,20140117,8,"Paved, 2 Lane, Undivided"
13260,20140124,20140124,8,"Paved, 2 Lane, Undivided"
13261,,20140128,8,"Paved, 2 Lane, Undivided"
13262,20140129,20140129,8,"Paved, 2 Lane, Undivided"
13263,20140129,20140129,8,"Paved, 2 Lane, Undivided"
13264,,20140129,8,"Paved, 2 Lane, Undivided"
13265,,20140129,8,"Paved, 2 Lane, Undivided"
13266,,20140129,8,"Paved, 2 Lane, Undivided"
13267,,20140129,8,"Paved, 2 Lane, Undivided"
13268,20140129,20140129,8,"Paved, 2 Lane, Undivided"
13269,,20140129,8,"Paved, 2 Lane, Undivided"
13270,,20140129,8,"Paved, 2 Lane, Undivided"
13271,,20140129,4,Lane
13272,,20140129,8,"Paved, 2 Lane, Undivided"
13273,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13274,,20140130,8,"Paved, 2 Lane, Undivided"
13275,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13276,,20140130,8,"Paved, 2 Lane, Undivided"
13277,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13278,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13279,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13280,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13281,,20140130,8,"Paved, 2 Lane, Undivided"
13282,,20140130,8,"Paved, 2 Lane, Undivided"
13283,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13284,,20140130,4,Lane
13285,,20140130,8,"Paved, 2 Lane, Undivided"
13286,,20140130,8,"Paved, 2 Lane, Undivided"
13287,20140130,20140130,8,"Paved, 2 Lane, Undivided"
13288,,20140130,8,"Paved, 2 Lane, Undivided"
