,PLAN_NO,PLAN_TYPE,YR
18162,LMP38652,Subdivision,1998
18163,LMP38652,Subdivision,1998
18164,LMP38652,Subdivision,1998
18165,LMP38652,Subdivision,1998
18166,LMP38657,Subdivision,1998
18167,LMP38661,Subdivision,1998
18168,LMP38761,Reference Plan,1998
18169,LMP38829,Subdivision,1998
18170,LMP38829,Subdivision,1998
18171,LMP38829,Subdivision,1998
18172,LMP38829,Subdivision,1998
18173,LMP38830,Subdivision,1998
18174,LMP38830,Subdivision,1998
18175,LMP38840,Subdivision,1998
18176,LMP38868,Reference Plan,1998
18177,LMP38896,Subdivision,1997
18178,LMP38916,Subdivision,1998
18179,LMP38927,Subdivision,1998
18180,LMP38958,Subdivision,1998
18181,LMP38979,Reference Plan,1998
18182,LMP39024,Subdivision,1998
18183,LMP39035,Subdivision,1998
18184,LMP39052,Subdivision,1998
18185,LMP39052,Subdivision,1998
18186,LMP39054,Subdivision,1998
18187,LMP39054,Subdivision,1998
18188,LMP39054,Subdivision,1998
18189,LMP39067,Reference Plan,1998
18190,LMP39124,Subdivision,1998
18191,LMP39125,Subdivision,1998
18192,LMP39125,Subdivision,1998
18193,LMP39125,Subdivision,1998
18194,LMP39145,Subdivision,1998
18195,LMP3916,Subdivision,1992
18196,LMP3916,Subdivision,1992
18197,LMP3916,Subdivision,1992
18198,LMP3918,Subdivision,1992
18199,LMP3918,Subdivision,1992
18200,LMP39229,Subdivision,1998
18201,LMP39229,Subdivision,1998
18202,LMP39229,Subdivision,1998
18203,LMP39308,Subdivision,1998
18204,LMP39435,Subdivision,1998
18205,LMP3947,Subdivision,1992
18206,LMP39478,Subdivision,1998
18207,LMP39478,Subdivision,1998
18208,LMP3949,Subdivision,1992
18209,LMP39560,Reference Plan,1998
18210,LMP3958,Subdivision,1992
18211,LMP3958,Subdivision,1992
18212,LMP3958,Subdivision,1992
18213,LMP3958,Subdivision,1992
18214,LMP39629,Subdivision,1998
18215,LMP39691,Subdivision,1998
18216,LMP39698,Subdivision,1998
18217,LMP3972,Subdivision,1992
18218,LMP3972,Subdivision,1992
18219,LMP3972,Subdivision,1992
18220,LMP3972,Subdivision,1992
18221,LMP39724,Subdivision,1998
18222,LMP3974,Subdivision,1992
18223,LMP3976,Subdivision,1992
18224,LMP3976,Subdivision,1992
18225,LMP39762,Subdivision,1998
18226,LMP3977,Subdivision,1992
18227,LMP39784,Subdivision,1998
18228,LMP39786,Subdivision,1998
18229,LMP39786,Subdivision,1998
18230,LMP39786,Subdivision,1998
18231,LMP39788,Subdivision,1998
18232,LMP39788,Subdivision,1998
18233,LMP39807,Subdivision,1998
18234,LMP39889,Subdivision,1998
18235,LMP39904,Subdivision,1998
18236,LMP40012,Subdivision,1998
18237,LMP40012,Subdivision,1998
18238,LMP40012,Subdivision,1998
18239,LMP40012,Subdivision,1998
18240,LMP4004,Subdivision,1992
18241,LMP40077,Reference Plan,1998
18242,LMP40078,Reference Plan,1998
18243,LMP40079,Reference Plan,1998
18244,LMP40186,Subdivision,1998
