,ACCESSIBILITY,COMMENTS,CRE_DATE,MATERIAL,MOD_DATE,ROAD_CLASS,WEBLINK
437,Open,,20150818,,20150818,Lane,
438,Open,,20120822,Asphalt,20150825,,
439,,,20151126,,20160128,,
440,,,20170403,,,,
441,,,20170321,,20170321,,
442,,,20170328,,20170328,,
443,,,20170321,,20170321,,
444,,,20170404,,20170404,,
445,,,20151119,,20151119,Other,
446,,,20170328,,20180416,,
447,,,20170403,,,,
448,Open,Strata,20140821,Asphalt,20140822,Other,
449,Open,Strata,20140821,Asphalt,20140822,Other,
450,Open,Strata,20140821,Asphalt,20140822,Other,
451,Open,Strata,20140821,Asphalt,20140822,Other,
452,Open,Strata,20140821,Asphalt,20140822,Other,
453,Open,Strata,20140821,Asphalt,20140822,Other,
454,Open,Strata,20140821,Asphalt,20140822,Other,
455,,,20131203,,20180412,,
456,Open,,20120822,Asphalt,,,
457,Open,,20121219,Asphalt,20160929,,
458,Open,,20120822,Asphalt,,,
459,Open,Strata,20140821,Asphalt,20140822,Other,
460,Open,Overpass,20140120,Asphalt,20140120,Ramp,
461,Open,,20121107,Asphalt,,Local,
462,Open,,20121107,Asphalt,,Lane,
463,Open,,20121107,Asphalt,20171023,Arterial,
464,Open,Overpass,20140121,Concrete,20160928,Ramp,
465,Open,,20121001,Asphalt,20170123,Local,
466,Open,,20120822,Asphalt,20160928,Collector,
467,,Parking Lot,20170524,,20180814,Other,
468,Closed to Traffic,,20130708,,20170524,Lane,
469,Open,,20131203,Asphalt,20160216,Arterial,
470,Open,,20140116,Asphalt,20160120,Arterial,
471,Open,,20120822,Asphalt,,,
472,,,20151126,,,Other,
473,Open,,20151208,Asphalt,20151208,Lane,
474,,Parking Lot,20170315,,20170605,,
475,,,20121220,,20160217,,
476,,,20131203,,20160315,,
477,Open,,20121001,Gravel,20121001,Lane,
478,Open,Overpass,20120822,Concrete,20140121,Ramp,
479,,,20170320,,,,
480,Open,,20120822,Asphalt,,Lane,
481,,,20140515,,20150818,Lane,
482,,,20131203,,20170124,,
483,,,20121220,,20170124,,
484,,,20131203,,20130719,,
485,,,20170320,,,,
486,Open,,20130710,,20130823,,
487,Open,,20120822,Gravel,,Lane,
488,Open,,20121001,Asphalt,20121001,Local,
489,,,20121220,,20161124,,
490,,Parking Lot,20170320,,20170605,,
491,,,20121220,,20140910,,
492,,,20170518,,,,
493,,,20170322,,20180328,,
494,,,20170328,,,,
495,,,20131203,,20150114,,
496,Open,,20131203,,20150619,,
497,Open,,20130424,,20130710,,
498,Open,,20130424,,20130710,,
499,Open,,20120822,Asphalt,,,
500,Open,,20131203,,20160906,,
501,Open,Strata,20140821,Asphalt,20140822,Other,
502,Open,,20121219,,20131203,,
503,,,20170627,,,,
504,Open,,20121219,Asphalt,20170524,Local,
505,Open,,20131203,Asphalt,20170524,Local,
506,Open,Strata,20140117,Asphalt,20140117,Other,
507,,,20170628,,,,
508,,,20170628,,,,
509,,,20170628,,,,
510,Open,Bus Loop,20121218,Asphalt,20121102,Other,
511,Open,,20141006,Asphalt,20151218,Arterial,
512,Open,,20140116,Asphalt,20160121,Arterial,
513,Open,,20120822,Asphalt,20160121,Local,
514,Open,,20131203,Asphalt,20160929,Arterial,
515,Open,,20120822,Asphalt,20150119,Arterial,
516,,,20151126,,20151126,Other,
517,,,20121220,,20150122,,
518,,,20121220,,20121102,,
519,,,20121220,,20170619,,
520,,,20121220,,20121102,,
521,,,20131016,,20161223,,
522,,,20151116,,,Other,
523,,,20131203,,20150825,Arterial,
524,,,20150820,,20150820,Other,
525,,,20150820,,,Other,
526,,Parking Lot,20170320,,20170605,,
527,Open,,20150825,Asphalt,20150825,Lane,
528,,,20151126,,20151126,,
529,Open,,20140217,Asphalt,20180115,Arterial,
530,Open,,20120822,Asphalt,,,
531,,,20121219,,20160601,,
532,,,20121220,,20180828,,
533,,,20170419,,20170419,,
534,,,20170412,,20170412,,
535,,,20170609,,,,
536,Open,,20131203,,20171017,,
537,Open,,20131203,,20170117,,
538,Open,Parking Lot,20180802,Asphalt,20180802,Other,
539,Open,,20131203,,20131203,,
540,,,20170621,,,,
541,,,20170621,,20170621,,
542,Open,,20131203,,20150311,,
543,,,20131203,,20160202,,
544,Open,,20121211,Asphalt,20151217,Local,
545,Open,,20121211,Asphalt,20151217,Arterial,
546,Open,Strata,20140829,Asphalt,20151029,,
547,Open,,20121219,Asphalt,20161128,,
548,Open,Strata,20140117,Asphalt,20140117,Other,
549,Open,,20121219,,20180629,,
550,Open,,20130924,Asphalt,20131203,,
551,Open,,20121211,Asphalt,20120928,Lane,
552,Open,,20121211,Asphalt,20160511,Local,
553,Open,,20131203,Asphalt,20131203,Arterial,
554,Open,,20130708,Asphalt,20150522,,
555,Open,,20130708,Asphalt,20131203,,
556,Open,,20121211,Asphalt,20120928,Local,
557,,Parking Lot,20170316,,20180725,,
558,,,20151130,,20151130,Other,
559,,,20121220,,20150721,,
560,,,20151130,,20151130,Other,
561,Open,,20131121,,20161216,,
562,,,20121001,,20140313,,
563,,,20170822,,20170822,Ramp,
564,,,20170822,,20170727,,
565,Open,,20120822,Concrete,20140121,Ramp,
566,,,20131203,,20161216,,
567,Open,,20120822,Asphalt,,,
568,Open,Overpass,20120822,Asphalt,20140313,Ramp,
569,,Parking Lot,20170605,,20170605,Arterial,
570,Open,,20121001,Asphalt,20170801,Local,
571,Open,,20121001,Asphalt,20170801,Arterial,
572,,,20150820,,20150820,Local,
573,,,20140326,,20140326,,
574,,,20140325,,20150820,Lane,
575,,,20151118,,20151118,Other,
576,Open,,20121001,Asphalt,20121001,Local,
577,,,20140324,,20131203,,
578,,,20121219,,20131120,,
579,Open,,20150820,Asphalt,20180315,Local,
580,Open,,20120822,Asphalt,20160108,,
581,Open,,20150820,,20150820,Local,
582,,,20131203,,20170125,,
583,Open,,20120822,Asphalt,20180507,Lane,
584,Open,,20150820,,20150820,,
585,,,20130424,,,,
586,,,20121219,,20170731,,
587,Open,,20121102,Asphalt,20121102,Lane,
588,Open,,20121102,Asphalt,20121102,Lane,
589,Open,,20121102,Asphalt,20121102,Lane,
590,Open,,20131203,,20180509,,
591,,,20170614,,,,
592,,,20170614,,20170614,,
593,,,20170719,,20170719,,
594,Open,Strata,20140822,Asphalt,20140822,Other,
595,,,20130417,,20130417,,
596,Open,,20120822,Asphalt,20151008,,
597,,Strata,20140829,,20140829,Other,
598,Closed to Traffic,Parking Lot,20130405,Asphalt,20140117,Other,
599,,,20130405,,20130405,,
600,Open,,20131203,Asphalt,20180803,Arterial,
601,Open,,20120822,Asphalt,20160511,,
602,Open,,20121219,Asphalt,,,
603,Open,,20140114,Asphalt,20170119,Other,
604,Open,,20120822,Asphalt,20150522,,
605,,,20151130,,20151130,Other,
606,,Parking Lot,20170316,,20170605,,
607,,Parking Lot,20170317,,20170605,,
608,,Parking Lot,20170316,,20170605,,
609,,,20170317,,20170317,,
610,,Parking Lot,20170317,,20170605,,
611,,,20151201,,20151201,Other,
612,,,20151201,,,Other,
613,,,20151201,,,Other,
614,,,20121220,,20161107,,
615,Open,,20131203,,20131204,,
616,Open,,20121220,,20180327,,
617,Open,,20120822,Asphalt,20151116,,
618,,,20140121,,20140121,,
619,Open,,20120822,Asphalt,20130708,,
620,,,20180801,,20180801,Other,
621,,,20150825,,20150825,Highway,
622,,,20121219,,20121102,,
623,,,20121219,,20170731,,
624,Open,,20121219,,20130710,,
625,Open,,20121219,,20180110,,
626,,,20151125,,20151125,Other,
627,Open,,20121219,,20141120,,
628,Open,,20131203,,20130710,,
629,Open,,20131203,,20171004,,
630,,,20170621,,,,
631,Open,,20131203,,20131203,,
632,,,20140829,,20141027,Other,
633,,,20170710,,20170710,,
634,,,20170710,,20170710,,
635,,,20170719,,,,
636,,,20130213,,,,
637,Open,,20131203,,20170811,,
638,Open,Strata,20130710,Asphalt,20140117,Other,
639,Open,,20131203,Asphalt,20180413,Arterial,
640,,Strata,20130321,,20140829,,
641,Closed to Traffic,Parking Lot,20140117,Asphalt,20140117,Other,
642,Open,Underpass,20140116,Asphalt,20180802,Highway,
643,Open,Overpass,20131219,Concrete,20160701,Ramp,
644,Open,Overpass,20131219,Concrete,20160704,Ramp,
645,Open,Underpass,20131219,Asphalt,20160912,Other,
646,Open,,20130930,Asphalt,20170131,,
647,Open,,20131121,Asphalt,20131203,,
648,Open,,20131121,Asphalt,20180614,,
649,Open,,20131203,Asphalt,20160301,,
650,Open,,20121019,Gravel,20121019,Local,
651,,,20130122,,20130122,,
652,Open,,20120822,Asphalt,20161129,,
653,Open,,20140313,Asphalt,20161129,Arterial,
654,,,20141029,,20180711,,
655,,Parking Lot,,,20170605,,
656,,,20150820,,20150820,Local,
657,Open,,20120822,Asphalt,,,
658,Open,,20120822,Asphalt,,,
659,Open,,20121001,Asphalt,20150714,Local,
660,,,20170822,,20131203,,
661,,,20131015,,20160830,,
662,,,20131015,,20141010,,
663,,,20121219,,20180410,,
664,,,20160729,,20170719,Other,
665,,,20121219,,20170609,,
666,,,20151130,,20151130,,
667,,,20151130,,,,
668,,,20151120,,20151120,Other,
669,Open,,20120822,Asphalt,20180221,,
670,Open,,20121219,,20171018,,
671,,,20151125,,20151125,Other,
672,,,20151120,,20151120,Other,
673,,,20151125,,20151125,Other,
674,Open,,20131121,,20160128,,
675,Open,,20121219,,20170831,,
676,,,20130423,,,,
677,,,20160408,,20160408,Lane,
678,Null,,20130710,Asphalt,20130710,,
679,Open,,20131203,Asphalt,20160629,,
680,,,20130710,,20160628,,
681,Open,,20151014,Asphalt,20151014,,
682,Open,,20121219,Asphalt,,,
683,,Parking Lot,20130117,,20170605,,
