,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
184,3,Gate,1000141312,28429,1438907996,450,Ductile Iron,18.5,In Service,4703-1900-00,2005,Surrey,,SEE S-052-153 FOR LOCATION / 193 TURNS,Final AB,,,,,,,,,,,,,,,,20050105,20140731,1,49.147673,-122.823274
185,3,Gate,1000141380,26536,1521106336,750,Ductile Iron,6.77,In Service,4703-5070-00,2005,Surrey,,750 STEEL KNIFE GATE VALVE SEE ALSO S-073-088,Final AB,,,,,,,,,,,,,,,,20050422,,1,49.117597,-122.800712
186,3,Gate,1000141381,26538,1520906333,250,Ductile Iron,,In Service,4703-5070-00,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20050422,,1,49.117553,-122.800756
187,3,Gate,1001810832,,1204710959,250,Cast Iron,-0.36,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150303,20150303,1,49.201373,-122.887739
188,3,Gate,1001810842,,1203310981,250,Cast Iron,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150303,,1,49.201764,-122.888124
189,3,Gate,1000141128,24713,1202410993,200,Ductile Iron,0.29,In Service,4798-004-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,,1,49.201991,-122.888370
190,3,Gate,1000141129,24714,1203010988,200,Ductile Iron,0.03,In Service,4798-004-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,,1,49.201898,-122.888202
191,3,Gate,1000141130,24715,1200011011,200,Ductile Iron,0.84,In Service,4798-004-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,,1,49.202307,-122.889030
192,3,Gate,1000141131,24716,1199611014,200,Ductile Iron,1.11,In Service,4798-004-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,,1,49.202371,-122.889161
193,3,Gate,1000141132,24720,1195211044,100,Ductile Iron,1.1,In Service,4798-004-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040216,,1,49.202915,-122.890360
194,3,Gate,1001811169,,1207210956,200,Cast Iron,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150303,20150303,1,49.201322,-122.887049
195,0,Ball,1000141142,27305,1196410513,100,Ductile Iron,0.8,In Service,4516,1978,Surrey,,LINE BSW-B,Final AB,,,,,,,,,,,,,,,,20051025,,1,49.193302,-122.890051
196,0,Ball,1000141143,27332,1186910665,150,Ductile Iron,0.53,In Service,4516,1978,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051025,,1,49.196047,-122.892668
197,3,Gate,1001811172,,1207110958,200,Cast Iron,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150303,20150303,1,49.201348,-122.887102
198,3,Gate,1001811186,,1214211141,100,Cast Iron,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150303,20150303,1,49.204656,-122.885117
199,3,Gate,1000862112,,1899309852,400,Ductile Iron,,In Service,4708-3090-00,2008,Surrey,,(Closed) In 2400 Valve Chamber,Final AB,,,,,,,,,,,,,,,,20081103,20160708,1,49.180996,-122.696065
200,3,Gate,1001811209,,1217211142,100,Cast Iron,1.6,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150303,20150303,1,49.204674,-122.884289
201,3,Gate,1000141249,21774,1377511628,100,Ductile Iron,3.9,In Service,7898-0006-00,2000,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011031,20150310,1,49.213420,-122.839986
202,3,Gate,1001130201,,1513211620,150,Ductile Iron,4.27,In Service,S-3038,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20090813,20150314,1,49.213225,-122.802517
203,0,Ball,1000141182,27539,1224110817,150,Ductile Iron,0.26,In Service,C-4122,1995,Surrey,,LINE BSW-J,Final AB,,,,,,,,,,,,,,,,20051030,20150313,1,49.198773,-122.882408
204,3,Gate,1001152621,,1399403553,200,Ductile Iron,,In Service,4706-4610-00,2009,Surrey,,Normally Closed,Final AB,,,,,,,,,,,,,,,,20100315,20160708,1,49.067300,-122.834432
205,2,Expansion Joint,1001792811,,1227311446,150,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141029,20150313,1,49.210187,-122.881503
206,2,Expansion Joint,1001792869,,1232211494,150,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141029,20150313,1,49.211055,-122.880146
207,2,Expansion Joint,1001793978,,1298311684,75,Polyethylene,0.8,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141031,20150313,1,49.214469,-122.861875
