,AREA_SUBTYPE,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH_M,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NO_OF_HANDICAPPED_UNITS,NO_OF_SPACES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_AREA_TYPE,PARK_AREA_TYPE2,PARK_FACILITY_TYPE,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SECURE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,SURFACE_TYPE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YEAR_ADDED,YRS_LIFE_EXPECTANCY
100,Unimproved Land,,,,,20130325,"22F - Neighbourhood Park, 9687 137 St",1001581753,,,,,,,,,,,20130325,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
101,Unimproved Land,,,,,20130315,"12F - Greenbelt,13809 Grosvenor Rd",1001580780,,,,,,,,,012,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
102,Unimproved Land,,,,,20131007,72F - Greenbelt,1001713503,,,,,,,,,,,20131007,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
103,Unimproved Land,,,,,20130315,"22B - Utility ROW,13906 100 Ave",1001580837,,,,,,,,,022,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2008,
104,Unimproved Land,,,,,20170724,62T - Greenbelt,1001941109,,,,1001941108,,14174 68 Ave,,,062,,20170724,,,"62T - Greenbelt, 14174 68 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,,
105,Unimproved Land,,,,,20141121,62G - Greenbelt,1001797898,,,,,,14293 64 Ave,,,62,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
106,Unimproved Land,,,,,20170303,"British Manor Park, 8050 144 St",1001911531,,,,,,,,,,,20170303,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
107,Unimproved Land,,,,,20130315,"103D - Utility ROW,3409 150 St",1001580861,,,,,,,,,103,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
108,Unimproved Land,,,,,20130315,"54A - Greenbelt,7611 156 St",1001580841,,,,,,,,,054,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
109,Unimproved Land,,,,,20161214,"54D - Greenbelt, 7747 154 St",1001899866,,,,,,,,,,,20161214,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
110,Unimproved Land,,,,,20151109,54E - Greenbelt,1001846930,7693,,,1001846919,,7693 154 St,,,054,,20180320,,,"54E - Greenbelt, 7693 154 St",Park,,0,General Area,,,,15400,,,,,,,,,,,,,,2015,
111,Unimproved Land,,,,,20130315,"104J - Greenbelt,15614 40 Ave",1001580812,,,,,,,,,104,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2006,
112,Unimproved Land,,,,,20170309,14Q - Greenbelt,1001912306,,,,1001912305,,10501 157 St,,,014,,20180320,,,"14Q - Greenbelt, 10501 157 St",,,0,General Area,,,,,,,,,,,,,,,,,,,
113,Unimproved Land,,,,,20140808,Mountain View Park,1001781257,15875,,,,,,,,114,,20180320,,,"114K - Greenbelt, 15875 Mountain View Dr",,,0,General Area,,,,02960,,,,OPERATING,,,,,,,,,,2014,
114,Unimproved Land,,,,,20150421,Mountain View Park,1001879027,15901,,,,,,,,114,,20180320,,,"114L - Neighbourhood Park, 15929 Mountain View Dr",,,0,General Area,,,,15901,,,,OPERATING,,,,,,,,,,2015,
115,Unimproved Land,,,,,20130315,"Fergus Watershed Park,16746 15 Ave",1001580756,,,,,,,,,135,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2008,
116,Unimproved Land,,Formerly 115J - Greenbelt,,,20170306,Orchard Grove Park,1001911614,,,,1001911613,,16685 24 Ave,,,115,,20180423,,,"115J - Greenbelt, 16685 24 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,2017,
117,Unimproved Land,,,,,20170601,45J - Greenbelt,1001933353,,,,,,,,,,,20170601,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
118,Unimproved Land,,,,,20170601,45J - Greenbelt,1001933352,,,,,,,,,,,20170601,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
119,Unimproved Land,,,,,20160923,"North Slope Park, 16758 110 Ave",1001893026,,,,,,,,,,,20160923,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
120,Unimproved Land,,,,,20140430,36B - Neighbourhood,1001745477,17109,,,,,,,,036,,20180320,,,"36B - Neighbourhood Park, 17109 94A Ave",,,0,General Area,,,,09400,,,,,,,,,,,,,,2014,
121,Unimproved Land,,,,,20130315,"Redwood Park,1962 176 St",1001580766,,,,,,,,,127,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2003,
122,Unimproved Land,,,,,20180117,"58D - Greenbelt, 7481 184 St",1001980736,,,,1001980732,,7481 184 St,,,058,,20180117,,,"58D - Greenbelt, 7481 184 St",,,0,General Area,,,,,,,,,,,,,,,,,,2018,
123,Unimproved Land,,,,,20180119,27A - Greenbelt,1001981035,,,,,,,,,,,20180119,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
124,Unimproved Land,,,,,20151028,118C - Neighbourhood Park,1001845269,,,,1001845268,,18461 24 Ave,,,118,,20180320,,,"118C - Neighbourhood Park, 18461 24 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,2015,
