,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
54,20150223,Amended From Road to Single Family Small Lots,RES.R16-2559,20171212,10,8,UPA,7911-0111-00,Single Family Small Lots,20171212,South Newton,Approved,Neighbourhood Concept Plan,1999
55,, , ,,10,8,UPA, ,Single Family Small Lots,20171212,South Newton,Approved,Neighbourhood Concept Plan,1999
56,,, ,,15,,UPA, ,Townhouses (15 u.p.a. max),20130605,South Newton,Approved,Neighbourhood Concept Plan,1999
57,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
58,, , ,20130130,,,, ,Buffers,20130417,South Newton,Approved,Neighbourhood Concept Plan,1999
59,, , ,20130130,,,, ,Buffers,20130417,South Newton,Approved,Neighbourhood Concept Plan,1999
60,20130128,Amendment,RES.R13-127,20130130,10,8,UPA,7910-0175-00,Single Family Small Lots,20130417,South Newton,Approved,Neighbourhood Concept Plan,1999
61,, , ,20130130,6,,UPA, ,Single Family Residential,20130417,South Newton,Approved,Neighbourhood Concept Plan,1999
62,, , ,,,,, ,Utility R/W / Greenway,,South Newton,Approved,Neighbourhood Concept Plan,1999
63,, , ,,,,, ,Office Park,,South Newton,Approved,Neighbourhood Concept Plan,1999
64,20150223,Amendment from Institutional to Office Park, ,20150304,,,,7914-0065-00,Office Park,20150304,South Newton,Approved,Neighbourhood Concept Plan,1999
65,20131125,Amendment From Institutional To Office Park, ,20131128,,,,7913-0121-00,Office Park,20160331,South Newton,Approved,Neighbourhood Concept Plan,1999
66,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
67,, , ,,,,, ,Existing & Future Parks,20140730,South Newton,Approved,Neighbourhood Concept Plan,1999
68,, , ,,,,, ,Institutional,20150304,South Newton,Approved,Neighbourhood Concept Plan,1999
69,, , ,20130508,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20130508,South Newton,Approved,Neighbourhood Concept Plan,1999
70,, , ,20160205,10,8,UPA, ,Single Family Small Lots,20160205,South Newton,Approved,Neighbourhood Concept Plan,1999
71,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
72,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20160205,South Newton,Approved,Neighbourhood Concept Plan,1999
73,, , ,20130315,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20130315,South Newton,Approved,Neighbourhood Concept Plan,1999
74,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20161117,South Newton,Approved,Neighbourhood Concept Plan,1999
75,, , ,,,,, ,Existing & Future Parks,,South Newton,Approved,Neighbourhood Concept Plan,1999
76,20151116,Amended From Single Family Residential Flex 6-14.5 u.p.a.& Single Family Small Lots to Townhouses (25 u.p.a. max), ,,25,25,UPA,7909-0132-00,Townhouses (25 u.p.a. max),20151120,South Newton,Approved,Neighbourhood Concept Plan,1999
77,, , ,,10,8,UPA, ,Single Family Small Lots,20150618,South Newton,Approved,Neighbourhood Concept Plan,1999
78,,,,,10,8,UPA,,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
79,, , ,20120112,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20120112,South Newton,Approved,Neighbourhood Concept Plan,1999
80,, , ,20120112,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20120112,South Newton,Approved,Neighbourhood Concept Plan,1999
81,, , ,,,,, ,Proposed School & Parks,20150623,South Newton,Approved,Neighbourhood Concept Plan,1999
82,,,,,10,8,UPA,,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
83,, , ,,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
84,, , ,,,,, ,Proposed Parks & Walkways,,South Newton,Approved,Neighbourhood Concept Plan,1999
85,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
86,, , ,,,,, ,Creeks & Riparian Set Backs,20140509,South Newton,Approved,Neighbourhood Concept Plan,1999
87,, , ,,,,, ,Creeks & Riparian Set Backs,20140509,South Newton,Approved,Neighbourhood Concept Plan,1999
88,, , ,,,,, ,Creeks & Riparian Set Backs,20120113,South Newton,Approved,Neighbourhood Concept Plan,1999
89,, , ,20131128,,,, ,Institutional,,South Newton,Approved,Neighbourhood Concept Plan,1999
90,,,,,,,,,Proposed Parks & Walkways,,South Newton,Approved,Neighbourhood Concept Plan,1999
91,, , ,,,,, ,Existing & Future Parks,,South Newton,Approved,Neighbourhood Concept Plan,1999
92,, , ,,6,,UPA, ,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
93,, , ,,45,,UPA, ,Apartments (45 u.p.a. max.),20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
94,,,,,14.5,6,UPA,,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
95,,,,,6,,UPA,,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
96,, , ,,,,, ,Creeks & Riparian Set Backs,,South Newton,Approved,Neighbourhood Concept Plan,1999
97,,,,,14.5,6,UPA,,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
98,, , ,,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
99,20041213,From Single Family Residential to Single Family Residential Small Lots,R04-3480,,14.5,6,UPA,04-0008-00,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
100,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20120113,South Newton,Approved,Neighbourhood Concept Plan,1999
101,, , ,20140116,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
102,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
103,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
104,20020903,Rezone from RA to RF-12 (B/L-12000); NCP from Schools & Parks to Single Family Small Lots,R04-841,,10,8,UPA,02-0094-00,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
