,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,CURB_TYPE,CURB_TYPE2,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROFILE,PROJECT_NO,STATUS,WARRANTYDATE,YR,YTD_COST
8648,Digitized via 2014 image,,,20150827,3,Pavement Edge,1001835911,,1001831091,0,,Asphalt,20150827,Surrey,,,In Service,,,0
8649,Digitized Via 2015 Air Photo,,,20180417,0,Barrier,1001995873,,1001884067,0,,Concrete,20180417,Surrey,,,In Service,,,0
8650,,,,20180417,0,Barrier,1001995877,,,,,Concrete,,Surrey,,,In Service,,,
8651,,,,20120411,3,Pavement Edge,1001407739,,,,,Asphalt,20120411,Surrey,,,In Service,,,
8652,,,,20120411,0,Barrier,1001407795,,1001407794,,,Concrete,20120411,Surrey,,,In Service,,,
8653,,,,20140324,0,Barrier,1001736589,Final AB,,,,Concrete,20140324,Surrey,,1711-3080-00,In Service,,2012,
8654,Digitized Via 2013 Air Photo,,,20140324,0,Barrier,1001736634,,1001701203,0,,Concrete,20140324,Surrey,,,In Service,,,0
8655,,,,20171127,0,Barrier,1001154703,Final AB,,,,Concrete,20171127,Surrey,,7816-0314-00,Proposed,,,
8656,,,,20120210,0,Barrier,1001148409,,,,,Concrete,20160119,Surrey,,,In Service,,,
8657,,,,20100406,0,Barrier,1001154693,,,,,Concrete,20120430,Surrey,,,In Service,,,
8658,Digitized Via 2013 Air Photo,,,20140325,2,Rollover,1001737131,,,,,Concrete,20140326,Surrey,,,In Service,,,
8659,Digitized Via 2013 Air Photo,,,20140325,0,Barrier,1001736777,,1001736630,0,,Concrete,20140324,Surrey,,,In Service,,,0
8660,Digitized Via 2013 Air Photo,,,20140321,0,Barrier,1001736436,,1001736406,0,,Concrete,20140321,Surrey,,,In Service,,,0
8661,Digitized Via 2013 Air Photo,,,20140228,3,Pavement Edge,1001732214,,,,,Asphalt,20140228,Surrey,,,In Service,,,
8662,Digitized Via 2012 Air Photo,,,20130114,0,Barrier,1001562946,,,,,Concrete,20130808,Surrey,,,In Service,,,
8663,Digitized Via 2013 Air Photo,,,20140324,0,Barrier,1001736656,,1001736641,0,,Concrete,20140324,Surrey,,,In Service,,,0
8664,Digitized Via 2013 Air Photo,,,20140228,1,Extruded,1001732158,,,,,,20140228,Surrey,,,,,,
8665,,,,20091029,0,Barrier,1001136694,Final AB,,,,Concrete,20091029,Surrey,,7806-0216-00,In Service,,2009,
8666,,,,20091029,0,Barrier,1001136701,Final AB,,,,Concrete,20091029,Surrey,,7806-0216-00,In Service,,2009,
8667,,,,20091029,0,Barrier,1001136698,Final AB,,,,Concrete,20091029,Surrey,,7806-0216-00,In Service,,2009,
8668,Digitized Via 2012 Air Photo,,,20130114,2,Rollover,1001562951,,1001562935,,,Concrete,20130808,Surrey,,,In Service,,,
8669,,,,20091029,0,Barrier,1001136695,Final AB,,,,Concrete,20130114,Surrey,,7806-0216-00,In Service,,2009,
8670,,,,20140320,1,Extruded,1001736100,Final AB,1001136714,,,Concrete,20140320,Surrey,,7806-0216-00,In Service,,2009,
8671,Digitized Via 2012 Air Photo,,,20121115,3,Pavement Edge,1001559492,,,,,Asphalt,20130808,Surrey,,,In Service,,,
8672,Digitized Via 2012 Air Photo,,,20121017,1,Extruded,1001556843,,,,,Asphalt,20130808,Surrey,,,In Service,,,
8673,Digitized Via 2012 Air Photo,,,20121017,3,Pavement Edge,1001556842,,,,,Asphalt,20130808,Surrey,,,In Service,,,
8674,TEMP PCC Curb,,,20130423,1,Extruded,1001592965,Final AB,,,,Concrete,20130808,Surrey,,7810-0293-00,In Service,,2013,
8675,,,,20110405,0,Barrier,1001194935,Final AB,,,,Concrete,20130424,Surrey,,7804-0038-00,In Service,,2011,
8676,,,,20120706,1,Extruded,1001417620,Final AB,,,,Asphalt,20130808,Surrey,,7809-0245-00,In Service,,2012,
8677,,,,20170707,0,Barrier,1001939574,Final AB,,,,Concrete,20170707,Surrey,,1710-7080-00,In Service,,2016,
8678,,,,20100823,0,Barrier,1001170655,Final AB,,,,Concrete,20170707,Surrey,,7809-0007-00,In Service,,2011,
8679,,,,20130924,0,Barrier,1001418939,Final AB,,,,Concrete,20170710,Surrey,,7810-0056-00,In Service,,2013,
8680,,,,20170710,0,Barrier,1001939827,Final AB,,,,Concrete,20170710,Surrey,,1710-7080-00,In Service,,2016,
8681,,,,20170711,0,Barrier,1001940085,Final AB,,,,Concrete,20170711,Surrey,,1716-6280-00,In Service,,2016,
8682,,,,20150916,0,Barrier,1001200891,Final AB,,,,Concrete,20150916,Surrey,,7810-0066-00,In Service,,2015,
8683,Digitized Via 2013 Air Photo,,,20140415,0,Barrier,1001741615,,1001741606,0,,Concrete,20140415,Surrey,,,In Service,,,0
8684,,,,20091106,0,Barrier,1001138033,Final AB,,,,Concrete,20101202,Surrey,,1704-3380-00,In Service,,2009,
8685,Digitized Via 2013 Air Photo,,,20140415,0,Barrier,1001741550,,,,,Concrete,20140415,Surrey,,,In Service,,,
