,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
3383,PTN LTS 2-12 PL LMP51032,LMP51033,7800-0339,3rd Party Agreement,E104-0029,Municipal Right of Way,Registered,3,2001
3384,PTN LTS 8 - 15 PL BCP23118,BCP23119,7804-0388,3rd Party Agreement,E104-0066,Municipal Right of Way,Registered,VAR,2006
3385,PTN LT 3 PL BCP51676,BCP51678,7810-0317-00,3rd Party Agreement,E104-0072,Municipal Right of Way,Registered,1.8,2012
3386,PT LTS 6-9 SEC 26 TP 1 NWD PL BCP23337,BCP23338,7803-0444-00,3rd Party Agreement,E104-0061,Municipal Right of Way,Registered,3.0,2006
3387,PTN LTS 9-11 PL LMP13774,LMP13775,7892-0402,3rd Party Agreement,E074-0008,Municipal Right of Way,Registered,3,1993
3388,"PTN LTS 7-9, 14 PL 75343",75345,7887-4400,Restrictive Covenant,E074-0007,Municipal Right of Way,Registered,15,1987
3389,PTN LT 125 PL 61926,61927,A359,3rd Party Agreement,E074-0002,Municipal Right of Way,Registered,3,1981
3390,PTN LTS 2 & 3 PL LMP19658,LMP19659,7893-0271,3rd Party Agreement,E054-0011,Municipal Right of Way,Registered,3,1994
3391,PTN LT 4 PL LMP14429,LMP14430,7891-0534,3rd Party Agreement,E054-0003,Municipal Right of Way,Registered,0,1994
3392,PTN LT 10 PL LMP19658,LMP19659,7893-0271,3rd Party Agreement,E054-0012,Municipal Right of Way,Registered,3,1994
3393,PTN LT 2 PL LMP14429,LMP14430,7891-0534,3rd Party Agreement,E054-0003,Municipal Right of Way,Registered,3,1994
3394,PTN LT 2 PL BCP51407,BCP51408,7811-0085-00,3rd Party Agreement,E054-0019,Municipal Right of Way,Registered,3.0,2012
3395,PTN LTS 1 & 3-5 PL LMP27088,LMP27089,7894-0245,3rd Party Agreement,E054-0016,Municipal Right of Way,Registered,0,1996
3396,PTN LTS 6-8 PL LMP5931,LMP5932,7891-0213,3rd Party Agreement,E054-0005,Municipal Right of Way,Registered,3,1992
3397,PTN LTS 11-17 PL LMP5931,LMP5932,7891-0213,3rd Party Agreement,E054-0005,Municipal Right of Way,Registered,3,1992
3398,PTN LT 2 PL LMP49148,LMP49149,7897-0079,3rd Party Agreement,E044-0061,Municipal Right of Way,Registered,1.8,2001
3399,PTN LTS 7 & 8 PL LMP32927,LMP32928,7896-0022,3rd Party Agreement,E044-0051,Municipal Right of Way,Registered,0,1997
