,ANCILLARYROLE,ENABLED,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MAKE,MODEL,CORROSION_PROTECTED,DISASTER_CONTROL,GEARED,PRESSURE_ZONE_VALVE,RESTRAINED,NO_TURNS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ROTATION,Latitude,Longitude
7849,,1,2,Gate,1000279456,17248,1494403033,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.057837,-122.808303
7850,,1,2,Gate,1000263420,17996,1307001958,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.038456,-122.859957
7851,,1,2,Gate,1000263462,13065,1789406412,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.118830,-122.726742
7852,,1,2,Gate,1000279401,17188,1461302364,450,,,,,,,,,In Service,Closed,,,Surrey,,,,,,,,,20020503,20160106,,49.045747,-122.817469
7853,,1,2,Gate,1000263466,13069,1840907211,100,,,,,,,,10,In Service,Open,,,Surrey,,,,,,,,,20020502,20171019,,49.133241,-122.712455
7854,,0,2,Gate,1000275496,17028,1374403161,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20120427,,49.060205,-122.841337
7855,,1,2,Gate,1000279481,17273,1490302411,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.046588,-122.809484
7856,,1,2,Gate,1000802203,,1460602363,600,,,,,,,,,Abandoned,Closed,,2006,Surrey,,,Final AB,,,,,,20060929,20160106,,49.045729,-122.817645
7857,,0,2,Gate,1001854613,,1445906863,200,,,No,,,No,No,,Proposed,Closed,7813-0281-00,2015,Surrey,,,EC,,,,,,20160119,20160119,,49.127173,-122.821399
7858,,1,2,Gate,1000263513,18476,1399501762,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.034881,-122.834497
7859,,1,2,Gate,1000279510,17302,1460602366,450,,,,,,,,,In Service,Closed,,,Surrey,,,,,,,,,20020503,20160106,,49.045780,-122.817661
7860,,1,2,Gate,1000279484,17276,1461002364,450,,,,,,,,,In Service,Closed,,,Surrey,,,,,,,,,20020503,20160106,,49.045744,-122.817547
7861,,1,2,Gate,1001148755,,1729700110,200,,,,,,,,,In Service,Open,7804-0411-00,2009,Surrey,,,Final AB,,,,,,20100202,20100315,,49.004820,-122.743795
7862,,1,2,Gate,1001149836,,1739000001,200,,,,,,,,,In Service,Open,7804-0411-00,2009,Surrey,,,Final AB,,,,,,20100216,20100315,,49.002845,-122.741241
7863,,1,2,Gate,1000273948,10548,1216407231,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.133904,-122.884668
7864,,1,2,Gate,1001149888,,1741200036,100,,,,,,,,,In Service,Open,7804-0411-00,2009,Surrey,,,,,,,,,20100216,20100315,,49.003476,-122.740642
7865,,1,2,Gate,1000274583,12127,1236907128,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.132035,-122.879016
7866,,1,2,Gate,1001148734,,1741700111,200,,,,,,,,,In Service,Open,7804-0411-00,2009,Surrey,,,Final AB,,,,,,20100202,20100315,,49.004823,-122.740493
7867,,1,2,Gate,1000273907,10481,1221207242,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.134110,-122.883342
7868,,1,2,Gate,1000273950,10556,1216407231,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.133915,-122.884684
7869,,1,2,Gate,1000273868,10419,1216107231,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.133905,-122.884744
7870,,1,2,Gate,1000271916,9566,1588508611,,,,,,,,,,In Service,Closed,,,Surrey,,,,,,,,,20020430,20120723,,49.158740,-122.781959
7871,,0,2,Gate,1000271089,3962,1269010031,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020425,20110519,,49.184560,-122.870023
7872,,1,2,Gate,1000263557,18520,1412301604,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.032018,-122.831005
7873,,1,2,Gate,1000263722,18263,1296701788,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.035386,-122.862800
