,ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
117,0,1,7,P Trap,1001885404,,,,,,,,,,90,,,20160729,20160729,In Service,2004,Metro Vancouver,7801-0079-00,Final AB,,49.098213,-122.718319
118,0,0,5,Odour Control Device,1001925295,,19000blk 40 Ave,,,,,,,,,,,20170331,20180213,Proposed,,Surrey,4714-5220-00,EC,Campbell Heights Odour Control,49.074508,-122.696210
119,0,1,5,Odour Control Device,1001120822,,120 & 5400 blk in Delta,,,,,,,,,,,20090429,20130128,In Service,,,,,,49.101575,-122.890437
120,0,1,7,P Trap,1001885425,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.100024,-122.887002
121,0,1,7,P Trap,1001885436,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.097028,-122.876563
122,0,1,7,P Trap,1001885439,,,,,,,,,,90,,,20160729,20160729,In Service,2003,Surrey,7800-0212-00,Final AB,,49.030680,-122.872106
123,0,1,0,Air Valve Assembly,1001795763,,,,,,,,,,,,,20141104,,In Service,2014,Surrey,4709-5070-00,Final AB,,49.207888,-122.866584
124,0,1,0,Air Valve Assembly,1001936981,1000071033,,,,,0,0,,,,,,20170622,20170622,In Service,2000,Surrey,1794-3080-00,Final AB,,49.208860,-122.864544
125,0,1,0,Air Valve Assembly,1000849488,,,,,,,,,,,,,20080429,,In Service,,,,,,49.211219,-122.861489
126,0,0,7,P Trap,1001885395,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.100022,-122.860112
127,0,0,7,P Trap,1001885399,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.101583,-122.854707
