,DEVICE_TYPE,DEVICE_TYPE2,FACILITYID,LEGACYID,MATERIAL,YEAR_BUILT,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
649,7,Speed Hump,1001838729,,Asphalt,,,In Service,7812-0151-00,2015,Surrey,,,Final AB,,,,,,20150914,20150914,49.113348,-122.829479
650,7,Speed Hump,1001834985,,Asphalt,,,In Service,7804-0329-00,2015,Surrey,,,Initial AB,,,,,,20150820,20150820,49.110866,-122.864353
651,8,Speed Table,1001834986,,Asphalt,,,In Service,7804-0329-00,2015,Surrey,,,Initial AB,,,,,,20150820,20150820,49.110431,-122.864354
652,7,Speed Hump,1001834982,,Asphalt,,,In Service,7804-0329-00,2015,Surrey,,,Initial AB,,,,,,20150820,20150820,49.111461,-122.863414
653,8,Speed Table,1001834983,,Asphalt,,,In Service,7804-0329-00,2015,Surrey,,,Initial AB,,,,,,20150820,20150820,49.111453,-122.864353
654,7,Speed Hump,1001834987,,Asphalt,,,In Service,7804-0329-00,2015,Surrey,,,Initial AB,,,,,,20150820,20150820,49.110445,-122.863037
655,7,Speed Hump,1001433790,,Asphalt,2017,,In Service,1714-6240-00,2017,Surrey,,,Final AB,,,,,,20171017,20171017,49.115935,-122.817747
656,7,Speed Hump,1001951624,,Asphalt,2017,,In Service,1714-6240-00,2017,Surrey,,,Final AB,,,,,,20171017,20171017,49.116976,-122.817744
657,7,Speed Hump,1001956520,,Asphalt,,,Proposed,7816-0112-00,,Surrey,,,EC,,,,,,20171129,20171129,49.172798,-122.789298
658,3,Raised Crosswalk,1001797022,,Asphalt,2015,,In Service,3814-4090-00,2015,Surrey,,,Initial AB,,,,,,20160211,20160211,49.129189,-122.879011
659,7,Speed Hump,1001885348,,Asphalt,,,In Service,,,Surrey,,,,,,,,,20160729,20160729,49.119270,-122.745511
660,4,Raised Intersection,1001075196,168,Asphalt,2008,0,In Service,1708-8040-00,2008,Surrey,168,2006,Final AB,,,,,,,20081212,49.125922,-122.715398
