,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,FENCING_TYPE,GIS_ENTRY_STAGE,HOUSE_NO,INSERVICE_COST,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MATERIAL,MEDIAN_TYPE,MEDIAN_TYPE2,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PLANTED,PROJECT_NO,ROAD_CODE,SERIAL_NO,STATUS,STATUS_DATE,STATUS_PARKS,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
1866,,,,,20090128,,1001079280,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20160929,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1867,,,,,20090128,,1001079279,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20161006,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1868,,,,,20170118,,1001902745,,Final AB,,,,,,Engineering,,061,Concrete,0,Central,,20170118,,,Engineering,Surrey,,,Yes,1715-3090-00,,,In Service,,,,,,,2016,,
1869,,,,,20110923,,1001214164,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20161024,,,Engineering,Surrey,,,No,1704-3310-00,,,In Service,,,,,,,2014,,
1870,,,,,20161024,,1001894939,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20161024,,,Engineering,Surrey,,,No,1704-3310-00,,,In Service,,,,,,,2014,,
1871,,,,,20161025,,1001214212,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20161025,,,Engineering,Surrey,,,No,1704-3310-00,,,In Service,,,,,,,2014,,
1872,,,,,20161025,,1001214161,,,,,,,,Engineering,,,Concrete,0,Central,,20161025,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1873,,,,,20100120,,1001147254,,Final AB,,,,,,Engineering,,,Asphalt,1,Island,,20170118,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1874,,,,,20090211,,1001081954,,Initial AB,,,,,,Engineering,,,Asphalt,0,Central,,20170118,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1875,,,,,20090211,,1001081956,,Initial AB,,,,,,Engineering,,,Asphalt,0,Central,,20170118,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1876,,,,,20180418,,1001996015,,Final AB,,,,,South Surrey Athletic Park,Parks,,123,Concrete,1,Island,,20180418,,,Parks,Surrey,,,Yes,,,,In Service,,,,,,,,,
1877,,,,,20180418,,1001996016,,Final AB,,,,,South Surrey Athletic Park,Parks,,123,Concrete,1,Island,,20180418,,,Parks,Surrey,,,Yes,,,,In Service,,,,,,,,,
1878,,,,,20180622,,1001885550,,Initial AB,,,,,,Engineering,,019,Concrete,1,Island,,20180622,,,Engineering,Surrey,,,Yes,7812-0124-00,,,In Service,,,,,,,2018,,
