,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
1113,,,Mixed, ,,,20090311,"Horticulture Beds; Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",1001437283,Area 6,16555,0,,0708-000000152,in and around south parking lot,Recreation,,045,,20121016,"Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",Land,Parks,,Surrey Sport & Leisure Complex Grounds,,045-19,00101,,,OPERATING,20090311131900,,,,,,
1114,,,Mixed, ,,,20090311,"Horticulture Beds; Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",1001437284,Area 6,16555,0,,0708-000000177,around perimeter of building,Recreation,,045,,20121016,"Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",Land,Parks,,Surrey Sport & Leisure Complex Grounds,,045-20,00101,,,OPERATING,20090311133600,,,,,,
1115,,,Woody - C, ,,,20090407,"Horticulture Bed; 68C - Greenbelt, 6684 184B St",1001437286,Area 7,06684,0,19991016,0708-000000915,Around all edges of site,Parks,,068,,20121016,"68C - Greenbelt, 6684 184B St",Park,Parks,,68C - Greenbelt,,068-09,18470,,,OPERATING,20001016093600,,,,,,
1116,,,Woody - C, ,,,20090407,"Horticulture Bed; 68D - Greenbelt, 6700 185 St",1001437287,Area 7,06700,0,19991016,0708-000000916,Around all edges of site,Parks,,068,,20121016,"68D - Greenbelt, 6700 185 St",Park,Parks,,68D - Greenbelt,,068-10,18500,,,OPERATING,20001016094100,,,,,,
1117,,,Woody - C, ,,,20090407,"Horticulture Bed; Clayton Park, 18513 70 Ave",1001437288,Area 7,18513,0,,0708-000000018,W. Side Of Community Center,Parks,,068,,20121016,"Clayton Park, 18513 70 Ave",Park,Parks,,Clayton Park,,068-11,07000,,,OPERATING,,,,,,,
1118,,,Woody - C, ,,,20090407,"Horticulture Bed; Clayton Park, 18513 70 Ave",1001437289,Area 7,18513,0,,0708-000000004,N.W. Corner Of Community Center,Parks,,068,,20121016,"Clayton Park, 18513 70 Ave",Park,Parks,,Clayton Park,,068-12,07000,,,OPERATING,,,,,,,
1119,,,Woody - A/B, ,,,20090407,"Horticulture Bed; Clayton Park, 18513 70 Ave",1001437290,Area 7,18513,0,,0708-000000594,N. End Of Community Center,Parks,,068,,20121016,"Clayton Park, 18513 70 Ave",Park,Parks,,Clayton Park,,068-13,07000,,,OPERATING,,,,,,,
1120,,,Mixed, ,,,,"Horticulture Beds; Median, 138 St - 71 Ave to 72 Ave",1001436991,Area 5,07100,0,,0708-000000150,On median,Parks,,062,,20121016,"Median, 138 St - 71 Ave to 72 Ave",Median,Parks,,Median - 138 St - 71 to 72,,062-05,13800,,,OPERATING,,,,,,,
1121,,,Mixed, ,,,,"Horticulture Bed; Blvd, 152 St - 81 Ave to 81a Ave - E side",1001436942,Contract,08100,0,20010728,0708-000000969,entire frontage site,Parks,,044,,20151210,"Blvd, 152 St - 81 Ave to 81a Ave - E side",Boulevard,Parks,,Blvd - 152 St - 81 to 81a - E side,,044-02,15200,,,OPERATING,20020418135500,,,,,,
1122,,,Mixed, ,,,,"Horticulture Bed; Blvd, 152 St - 82a Ave to 83a Ave - E side",1001436943,Contract,08250,0,20010728,0708-000000970,along frontage,Parks,,044,,20151210,"Blvd, 152 St - 82a Ave to 83a Ave - E side",Boulevard,Parks,,Blvd - 152 St - 82a to 83a - E side,,044-03,15200,,,OPERATING,20020418140700,,,,,,
