,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
420,,,Woody - A/B, ,,,20090408,"Horticulture Beds; Cloverdale Athletic Park, 6330 168 St",1001437294,Area 7,06330,0,,0708-000000029,In SW parking lot,Parks,,076,,20121016,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,,Cloverdale Athletic Park,,076-14,16800,,,OPERATING,,,,,,,
421,,,Woody - A/B, ,,,20090408,"Horticulture Bed; Cloverdale Athletic Park, 6330 168 St",1001437295,Area 7,06330,0,,0708-000000835,north end of 64 Ave Parking Lot,Parks,,076,,20121016,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,,Cloverdale Athletic Park,,076-15,16800,,,OPERATING,,,,,,,
422,,,Woody - A/B, ,,,20090408,"Horticulture Bed; Cloverdale Athletic Park, 6330 - 168 St",1001437296,Area 7,06330,0,,0708-000000880,south end of 64 Ave Parking Lot,Parks,,076,,20121016,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,,Cloverdale Athletic Park,,076-16,16800,,,OPERATING,,,,,,,
423,,,Woody - A/B, ,,,20090408,"Horticulture Beds; Cloverdale Athletic Park, 6330 168 St",1001437297,Area 7,06330,0,,0708-000000859,7 small planting pockets in middle of 64 Ave parking lot,Parks,,076,,20121016,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,,Cloverdale Athletic Park,,076-17,16800,,,OPERATING,,,,,,,
424,,,Perennial, ,,,20130403,"Horticulture Bed; Blvd, KGBlvd & 108 Ave - NE corner",1001583480,Area 2,10800,0,,1001436874,On blvd area,Parks,,012,,20150814,"Blvd, KGBlvd & 108 Ave - NE corner",Boulevard,Parks,,Blvd - KGBlvd & 108 - NE corner,,012-04,13601,,,OPERATING,,,,,,,
425,,,Woody, ,,,20080226,"Horticulture Bed; Blvd, 152 St - Ferguson Diversion to Hwy 1 - W side",1001437155,Area 2,10765,0,19800101,0708-000001213,hort around plaza at 152 St & Ferguson Diversion,Parks,,013,,20121016,"Blvd, 152 St - Ferguson Diversion to Hwy 1 - W side",Boulevard,Parks,,Blvd - 152 St - Ferguson Div to Hwy 1 - W side,,013-01,15200,,,OPERATING,20080226092200,,,,,,
426,,,Woody, ,,,20080226,"Horticulture Bed; Blvd, 108 Ave & Ferguson Diversion - NW corner",1001437156,Area 2,15100,0,19800101,0708-000001214,"blvd at 108 Ave & Ferguson Diversion, NW corner",Parks,,013,,20121016,"Blvd, 108 Ave & Ferguson Diversion - NW corner",Boulevard,Parks,,Blvd - 108 Ave & Ferguson Diversion - NW corner,,013-02,10800,,,OPERATING,20080226093200,,,,,,
427,,,Mixed, ,,,20081023,"Horticulture Beds; Holland Park, 13428 Old Yale Road",1001437163,Area 1,13428,0,20071031,0708-000001227,throughout park area,Parks,,021,,20121016,"Holland Park, 13428 Old Yale Road",Park,Parks,,Holland Park,,021-10,80103,,,OPERATING,20081023144800,,,,,,
428,,,Woody - A/B, ,,,20100108,"Horticulture Bed; Cloverdale Curling Rink Grounds, 6150 176 St",1001437363,Area 7,06150,0,,0708-000000854,East Side Entrance,Parks,,077,,20121016,"Cloverdale Curling Rink Grounds, 6150 176 St",Land,Parks,,Cloverdale Curling Rink Grounds,,077-25,17600,,,OPERATING,,,,,,,
429,,,Woody - A/B, ,,,20100108,"Horticulture Beds; Cloverdale Curling Rink Grounds, 6150 176 St",1001437364,Area 7,06150,0,,0708-000000828,South Side of Curling Rink,Parks,,077,,20121016,"Cloverdale Curling Rink Grounds, 6150 176 St",Land,Parks,,Cloverdale Curling Rink Grounds,,077-26,17600,,,OPERATING,,,,,,,
430,,,Woody - A/B, ,,,20100108,"Horticulture Bed; Cloverdale Curling Rink Grounds, 6150 176 St",1001437365,Area 7,06150,0,,0708-000000735,North Side of Rink,Parks,,077,,20121016,"Cloverdale Curling Rink Grounds, 6150 176 St",Land,Parks,,Cloverdale Curling Rink Grounds,,077-27,17600,,,OPERATING,,,,,,,
431,,,Woody - C, ,,,20100108,"Horticulture Beds; Greenaway Park, 17905 60 Ave",1001437366,Area 7,17905,0,,0708-000000606,at entrance to pool,Parks,,077,,20121016,"Greenaway Park, 17905 60 Ave",Park,Parks,,Greenaway Park,,077-28,06000,,,OPERATING,,,,,,,
432,,,Woody - C, ,,,,"Horticulture Bed; Island, 2278 137 St",1001436691,Area 9,02278,0,,0708-000000415,Entire island,Parks,,122,,20121016,Island - 2278 137 St,Island,Parks,,Island - 2278 137 St,,122-26,13700,,,OPERATING,,,,,,,
433,,,Woody - C, ,,,,"Horticulture Bed; Island, 2315 139a St",1001436692,Area 9,02315,0,,0708-000000416,Entire island,Parks,,122,,20121016,Island - 2315 139a St,Island,Parks,,Island - 2315 139a St,,122-27,13950,,,OPERATING,,,,,,,
434,,,Woody - C, ,,,,"Horticulture Bed; Island, 2377 136 St",1001436693,Area 9,02377,0,,0708-000000417,entire island,Parks,,122,,20121016,Island - 2377 136 St,Island,Parks,,Island - 2377 136 St,,122-28,13600,,,OPERATING,,,,,,,
435,,,Woody,,,,,"Horticulture Bed; Median, 160 St - 22 Ave to 24 Ave",1001729946,Contract,02200,,20141001,,on median,Parks,,124,,20161024,"Median, 160 St - 22 Ave to 24 Ave",Median,Parks,,Median - 160 St - 22 to 24,,124-08,16000,,,OPERATING,,,,,,,
436,,,Mixed, ,,,,"Horticulture Bed; Median, 152 St - 96 to 98 Ave",1001436902,Contract,09600,0,20011128,0708-000000956,On median,Parks,,024,,20121016,"Median, 152 St - 96 Ave to 98 Ave",Median,Parks,,Median - 152 St - 96 to 98,,024-05,15200,,,OPERATING,20020128093100,,,,,,
437,,,Mixed, ,,,,Horticulture Bed; Median - 152 St - 98 to 99 Ave,1001436903,Contract,09800,0,20011128,0708-000000955,On median,Parks,,024,,20121016,"Median, 152 St - 98 Ave to 99 Ave",Median,Parks,,Median - 152 St - 98 to 99,,024-06,15200,,,OPERATING,20020128092900,,,,,,
438,,,Perennial, ,,,,"Horticulture Bed; Median, City Parkway - 102 Ave to 102a Ave",1001436892,Contract,10200,0,,0708-000000467,On median,Parks,,021,,20121016,"Median, City Parkway - 102 Ave to 102a Ave",Median,Parks,,Median - City Parkway - 102 to 102a,,021-02,13502,,,OPERATING,,,,,,,
439,,,Perennial, ,,,,Horticulture Bed; Median - King George Blvd - 96 Ave to Fraser Hwy,1001436893,Contract,09600,0,,0708-000000477,On median,Parks,,021,,20121016,"Median, King George Blvd - 96 Ave to Fraser Hwy",Median,Parks,,Median - KGBlvd - 96 to Fraser Hwy,,021-03,13601,,,OPERATING,,,,,,,
440,,,Mixed, ,,,,"Horticulture Bed; Median, King George Blvd - 101 Ave to 102 Ave",1001436894,Contract,10100,0,20011128,0708-000000953,On median,Parks,,021,,20121016,"Median, King George Blvd - 100 Ave to 102 Ave",Median,Parks,,Median - KGBlvd - 100 to 102,,021-04,13601,,,OPERATING,20020128085000,,,,,,
441,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924485,,,,,,,,,,,20170328,,,,,The Glades,,8,,,,,,,,,,,
442,,,Perennial, ,,,,"Horticulture Bed; Median, Old Yale Rd - University Drive to KGBlvd",1001436897,Contract,80103,0,,0708-000000472,On median,Parks,,021,,20121016,"Median, Old Yale Rd - University Drive to KGBlvd",Median,Parks,,Median - Old Yale Rd - University Dr to KGBlvd,,021-07,13402,,,OPERATING,,,,,,,
443,,,Mixed, ,,,,"Horticulture Bed; Median, University Drive - Old Yale Rd to 100a Ave",1001436898,Contract,10000,0,20011128,0708-000000961,On median,Parks,,021,,20121016,"Median, University Drive - Old Yale Rd to 100a Ave",Median,Parks,,Median - University Dr - Old Yale to 100a,,021-08,13402,,,OPERATING,20020128095500,,,,,,
444,,,Mixed, ,,,,"Horticulture Bed; Median, University Drive - 100a Ave to 101 Ave",1001436899,Contract,10050,0,20011128,0708-000000962,On median,Parks,,021,,20121016,"Median, University Drive - 100a Ave to 101 Ave",Median,Parks,,Median - University Dr - 100a to 101,,021-09,13402,,,OPERATING,20020128095800,,,,,,
445,,,Pernnial, ,,,,Horticulture Bed; Median - 104 Ave - 146 St to 147 St,1001436900,Contract,14650,0,20011011,0708-000001020,On median in front of the Real Canadian Superstore on 104 Ave.,Parks,,023,,20121016,"Median, 104 Ave - 146 St to 147 St",Median,Parks,,Median - 104 Ave - 146 to 147,,023-02,10400,,,OPERATING,20020815082800,,,,,,
446,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924484,,,,,,,,,,,20170328,,,,,The Glades,,9,,,,,,,,,,,
447,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924565,,,,,,,,,,,20170328,,,,,The Glades,,12,,,,,,,,,,,
448,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924566,,,,,,,,,,,20170328,,,,,The Glades,,11,,,,,,,,,,,
449,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924486,,,,,,,,,,,20170328,,,,,The Glades,,10,,,,,,,,,,,
450,,,Perennial, ,,,,"Horticulture Bed; Island, 10463 Oak Gate",1001436764,Area 2,10463,0,,0708-000000225,Entire Island,Parks,,015,,20121016,Island - 10463 Oak Gate,Island,Parks,,Island - 10463 Oak Gate,,015-03,16615,,,OPERATING,,,,,,,
451,,,Perennial, ,,,,"Horticulture Bed; Island, 16574 Magnolia Cl",1001436765,Area 2,16574,0,,0708-000000227,Entire island,Parks,,015,,20121016,Island - 16574 Magnolia Cl,Island,Parks,,Island - 16574 Magnolia Cl,,015-04,10452,,,OPERATING,,,,,,,
452,,,Perennial, ,,,,"Horticulture Bed; Island, 16387 Glenmoor Ct",1001436766,Area 2,16387,0,,0708-000000495,On island,Parks,,015,,20121016,Island - 16387 Glenmoor Ct,Island,Parks,,Island - 16387 Glenmoor Ct,,015-05,10463,,,OPERATING,,,,,,,
453,,,Perennial, ,,,,"Horticulture Bed; Island, 10447 Glenmoor Pl",1001436767,Area 2,10447,0,,0708-000000503,On island,Parks,,015,,20121016,Island - 10447 Glenmoor Pl,Island,Parks,,Island - 10447 Glenmoor Pl,,015-06,16320,,,OPERATING,,,,,,,
454,,,Perennial, ,,,,"Horticulture Bed; Island, 10653 Chestnut Pl",1001436768,Area 2,10653,0,,0708-000000238,Entire island,Parks,,015,,20121016,Island - 10653 Chestnut Pl,Island,Parks,,Island - 10653 Chestnut Pl,,015-07,16545,,,OPERATING,,,,,,,
455,,,Perennial, ,,,,"Horticulture Bed; Island, 10656 Chestnut Pl",1001436769,Area 2,10656,0,,0708-000000239,Entire island,Parks,,015,,20121016,Island - 10656 Chestnut Pl,Island,Parks,,Island - 10656 Chestnut Pl,,015-08,16545,,,OPERATING,,,,,,,
456,,,Woody - A/B, ,,,20090306,"Horticulture Beds; Goldstone Park, 5850 146 St",1001437222,Area 8,05850,0,20081031,0708-000001259,along 58 Ave blvd,Parks,,073,,20121016,"Goldstone Park, 5850 146 St",Park,Parks,,Goldstone Park,,073-08,14600,,,OPERATING,20090306135000,,,,,,
457,,,Woody - C, ,,,20090306,Horticulture Bed; Island - 18800 68 Ave,1001437223,Area 2,18800,0,20081031,0708-000001260,on island at intersection of 188 St & 68 Ave,Parks,,068,,20121016,Island - 18800 68 Ave,Island,Parks,,Island - 18800 68 Ave,,068-07,06800,,,OPERATING,20090306145200,,,,,,
458,,,Woody - C, ,,,20090306,Horticulture Bed; Island - 19000 68 Ave,1001437224,Area 2,19000,0,20081031,0708-000001261,on island at intersection of 190 St & 68 Ave,Parks,,068,,20121016,Island - 19000 68 Ave,Island,Parks,,Island - 19000 68 Ave,,068-08,06800,,,OPERATING,20090306145700,,,,,,
459,,,Mixed, ,,,20090309,"Horticulture Beds; Hemlock Park, 9353 160 St",1001437244,Area 6,09353,0,,0708-000000975,around parking lot and building,Parks,,034,,20121016,"Hemlock Park, 9353 160 St",Park,Parks,,Hemlock Park,,034-12,16000,,,OPERATING,20020419112500,,,,,,
460,,,Woody, ,,,20090309,"Horticulture Bed; Meagan Anne MacDougall Park, 15385 90 Ave",1001437245,Area 6,15385,0,,0708-000000601,Surrounding Park Sign At NE. 154 St Ent.,Parks,,034,,20121016,"Meagan Anne MacDougall Park, 15385 90 Ave",Park,Parks,,Meagan Anne MacDougall Park,,034-13,09000,,,OPERATING,,,,,,,
461,,,Woody, ,,,20090309,"Horticulture Beds; Meagan Anne MacDougall Park, 15385 90 Ave",1001437246,Area 6,15385,0,20020815,0708-000001037,South side of pump station,Parks,,034,,20121016,"Meagan Anne MacDougall Park, 15385 90 Ave",Park,Parks,,Meagan Anne MacDougall Park,,034-14,09000,,,OPERATING,20030318151200,,,,,,
462,,,Mixed, ,,,20170104,"Horticulture Beds; Hawthorne Park, 10503 144 St",1001900923,Area 2,10503,0,,1001437396,throughout site,Parks,,012,,20170105,"Hawthorne Park, 10503 144 St",Park,Parks,,Hawthorne Park,,012-07,14400,,,OPERATING,,,,,,,
463,,,Mixed,,,,20170201,"Horticulure Beds; Chimney Heights Park, 14677 74 Ave",1001904857,Area 5,14677,,20170201,,near 146B St entrance,Parks,,053,,20170201,"Chimney Heights Park, 14677 74 Ave",Park,Parks,,Chimney Heights Park,,053-09,07400,,,OPERATING,,,,,,,
464,,,Mixed, ,,,,"Horticulture Bed; Median, Cloverdale By-Pass - 58 Ave to 60 Ave",1001436759,Contract,05800,0,20060526,0708-000000710,along median,Parks,,076,,20160607,"Median, Cloverdale By-Pass - 58 Ave to 60 Ave",Median,Parks,,Median - Cloverdale By-Pass - 58 to 60,,076-04,17501,,,OPERATING,20061107165400,,,,,,
465,,,Mixed, ,,,20090918,"Horticulture Bed; Heron Park, 12324 - Beecher St",1001437299,Area 10,12324,0,,0708-000000610,North Section of Park,Parks,,110,,20121016,"Heron Park, 12324 Beecher St",Park,Parks,,Heron Park,,110-05,02780,,,OPERATING,,,,,,,
466,,,Mixed,created in Sept. 2009 for the promotion of Dart's Hill Garden,,,20090918,"Horticulture Bed; Heron Park, 12324 Beecher St",1001437300,Area 10,12324,0,,0708-000000711,Darts Hill Society bed,Parks,,110,,20121016,"Heron Park, 12324 Beecher St",Park,Parks,,Heron Park,,110-15,02780,,,OPERATING,20090918113200,,,,,,
467,,,Woody - C, ,,,20091105,"Horticulture Bed; Starr Park, 19333 66 Ave",1001437311,Area 7,19333,0,,0708-000001157,at SW entrance to P1,Parks,,069,,20121016,"Starr Park, 19333 66 Ave",Park,Parks,,Starr Park,,069-01,06600,,,OPERATING,20070510131700,,,,,,
468,,,Woody - C, ,,,20091105,"Horticulture Bed; Starr Park, 19333 66 Ave",1001437312,Area 7,19333,0,,0708-000001104,at SE entrance to P1,Parks,,069,,20121016,"Starr Park, 19333 66 Ave",Park,Parks,,Starr Park,,069-02,06600,,,OPERATING,20091105075200,,,,,,
469,,,Mixed,,,,20170202,"Horticulture Bed; Operations Yard Grounds, 6651 148 St",1001904949,Area 8,06651,,20170203,,Parking lot,Parks,,063,,20170206,"Operations Yard Grounds, 6651 148 St",Land,Parks,,Operations Yard Grounds,,063-17,14800,,,OPERATING,,,,,,,
470,,,Woody - C, ,,,20091124,Horticulture Bed; Island - 13000 Marine Dr,1001437316,Area 9,13000,0,20090426,0708-000001277,"on island at 130 St and Marine Dr, north side of Marine Dr",Parks,,131,,20121016,Island - 13000 Marine Dr,Island,Parks,,Island - 13000 Marine Dr,,131-06,01355,,,OPERATING,20091124093400,,,,,,
471,,,Mixed, ,,,20091126,"Horticulture Bed; Blvd, 152 St - 68 Ave to 70a Ave - W side",1001437324,Area 5,06801,0,20091001,0708-000001279,S portion of frontage rd from 68a Ave to 69 Ave,Parks,,063,,20121016,"Blvd, 152 St - 68 Ave to 70a Ave - W side",Boulevard,Parks,,Blvd - 152 St - 68a to 69 - W side,,063-10,15200,,,OPERATING,20091126155400,,,,,,
472,,,Mixed,,,,20170202,"Horticulture Bed; Operations Yard Grounds, 6651 148 St",1001904968,Area 8,06651,,20170206,,"Operations Yard Grounds, ref # 063-20",Parks,,063,,20170206,"Operations Yard Grounds, 6651 148 St",Land,Parks,,Operations Yard Grounds,,063-20,14800,,,OPERATING,,,,,,,
473,,,Mixed,,,,20170202,"Horticulture Bed; Operations Yard Grounds, 6651 148 St",1001904972,Area 8,06651,,20170206,,Rooftop Garden,Parks,,063,,20170206,"Operations Yard Grounds, 6651 148 St",Land,Parks,,Operations Yard Grounds,,063-19,14800,,,OPERATING,,,,,,,
474,,,Woody - C, ,,,,"Horticulture Bed; Island, 14948 21b Ave",1001436704,Area 9,14948,0,,0708-000000427,Entire island,Parks,,123,,20121016,Island - 14948 21b Ave,Island,Parks,,Island - 14948 21b Ave,,123-41,02170,,,OPERATING,,,,,,,
475,,,Mixed,,,,20170331,"Planters; Blvd, 56A Ave - 176A St to 177B St - S side",1001925343,Area 9,17650,,20170331,1001925342,on blvd,Parks,,077,,20170331,"Blvd, 56A Ave - 176A St to 177B St - S side",Boulevard,Parks,,Blvd - 56A Ave - 176A St to 177B St - S side,,077-38,05650,,,OPERATING,,,,,,,
476,,,Annual, ,,,20100319,"Horticulture Beds; Cloverdale Library Grounds, 5642 176A St",1001437381,Area 9,05642,0,,0708-000001298,at front entrance to building,Parks,,077,,20170331,"Cloverdale Library Grounds, 5642 176A St",Land,Parks,,Cloverdale Library Grounds,,077-29,17650,,,OPERATING,20100319111000,,,,,,
477,,,Mixed,,,,20160808,"Horticulture Bed; Hazelgrove Park, 7080 190 St",1001886223,Area 7,07080,,20160808,,along bioswale on 190 St,Parks,,068,,20170720,"Hazelgrove Park, 7080 190 St",Park,Parks,,Hazelgrove Park,,068-26,19000,,,OPERATING,,,,,,,
478,,,Perennial,,,,20170823,"Horticulture Bed; Island, 10800 156 St",1001943862,Area 2,10800,,20170823,,On island,Parks,,014,,20170823,Island - 10800 156 St,Island,Parks,,Island - 10800 156 St,,014-17,15600,,,OPERATING,,,,,,,
479,,,Mixed,,,,20170911,"Horticulture Bed; Island, 15615 82 Ave",1001946413,Area 6,15615,,20170911,,Entire island,Parks,,044,,20170911,Island - 15615 82 Ave,Island,Parks,,Island - 15615 82 Ave,,044-18,08200,,,OPERATING,,,,,,,
480,,,Mixed, ,,,,"Horticulture Bed; Blvd, 148 St - E side - 20 to 21a",1001436694,Area 10,02000,0,,0708-000000307,Entire blvd,Parks,,123,,20121016,"Blvd, 148 St - E side - 20 to 21a",Boulevard,Parks,,Blvd - 148 St - E side - 20 to 21a,,123-29,14800,,,OPERATING,,,,,,,
481,,,Mixed, ,,,,"Horticulture Bed; Blvd, 148 St - E side - 21a to 23",1001436695,Area 10,02150,0,,0708-000000309,Entire blvd,Parks,,123,,20121016,"Blvd, 148 St - E side - 21a to 23",Boulevard,Parks,,Blvd - 148 St - E side - 21a to 23,,123-30,14800,,,OPERATING,,,,,,,
482,,,Woody - C, ,,,,"Horticulture Bed; Island, 14801 21a Ave",1001436696,Area 9,14801,0,,0708-000000216,entire island,Parks,,123,,20121016,Island - 14801 21a Ave,Island,Parks,,Island - 14801 21a Ave,,123-31,02150,,,OPERATING,,,,,,,
483,,,Mixed, ,,,,"Horticulture Bed; Blvd, 20 Ave - N side - 148 to 150",1001436697,Area 10,14800,0,,0708-000000314,Entire blvd,Parks,,123,,20121016,"Blvd, 20 Ave - N side - 148 to 150",Boulevard,Parks,,Blvd - 20 Ave - N side - 148 to 150,,123-32,02000,,,OPERATING,,,,,,,
484,,,Woody - C, ,,,,"Horticulture Bed; Island, 14892 21b Ave",1001436702,Area 9,14892,0,,0708-000000423,On island,Parks,,123,,20121016,Island - 14892 21b Ave,Island,Parks,,Island - 14892 21b Ave,,123-39,02170,,,OPERATING,,,,,,,
485,,,Woody - C, ,,,,"Horticulture Bed; Island, 14906 21b Ave",1001436703,Area 9,14906,0,,0708-000000424,Entire island,Parks,,123,,20121016,Island - 14906 21b Ave,Island,Parks,,Island - 14906 21b Ave,,123-40,02170,,,OPERATING,,,,,,,
486,,,Mixed, ,,,,"Horticulture Bed; Median, 152 St - 99 to 100 Ave",1001436904,Contract,09900,0,20011128,0708-000000954,On median,Parks,,024,,20121016,"Median, 152 St - 99 Ave to 100 Ave",Median,Parks,,Median - 152 St - 99 to 100,,024-07,15200,,,OPERATING,20020128092000,,,,,,
487,,,Mixed, ,,,,"Horticulture Bed; Median, 152 St - 100 Ave to 101 Ave",1001436905,Contract,10000,0,20011128,0708-000000952,On median,Parks,,024,,20121016,"Median, 152 St - 100 Ave to 101 Ave",Median,Parks,,Median - 152 St - 100 to 101,,024-08,15200,,,OPERATING,20020128084500,,,,,,
488,,,Woody - C, ,,,,"Horticulture Bed; Island, 13548 22a Ave",1001436726,Area 9,13548,0,,0708-000001142,bed on island,Parks,,121,,20121016,Island - 13548 22a Ave,Island,Parks,,Island - 13548 22a Ave,,121-31,02250,,,OPERATING,20060203132600,,,,,,
489,,,Woody - C, ,,,,"Horticulture Bed; Island, 13377 14 Ave",1001436727,Area 9,13377,0,,0708-000001143,bed on island,Parks,,131,,20121016,Island - 13377 14 Ave,Island,Parks,,Island - 13377 14 Ave,,131-01,01400,,,OPERATING,20060203133400,,,,,,
490,,,Woody - C, ,,,,"Horticulture Bed; Island, 13510 14a Ave",1001436728,Area 9,13510,0,,0708-000001144,bed on island,Parks,,131,,20121016,Island - 13510 14a Ave,Island,Parks,,Island - 13510 14a Ave,,131-02,01450,,,OPERATING,20060203133600,,,,,,
491,,,Woody - C, ,,,,"Horticulture Bed; Island, 1283 132a St",1001436729,Area 9,01283,0,,0708-000001145,bed on island,Parks,,131,,20121016,Island - 1283 132a St,Island,Parks,,Island - 1283 132a St,,131-03,13250,,,OPERATING,20060203133900,,,,,,
492,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 16 Ave & 142 St - NW corner",1001436730,Area 10,01600,0,,0708-000001146,bed on blvd,Parks,,122,,20121016,"Blvd, 16 Ave & 142 St - NW corner",Boulevard,Parks,,Blvd - 16 Ave & 142 St - NW corner,,122-29,14200,,,OPERATING,20060203135200,,,,,,
493,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 16 Ave & 142 St - NE corner",1001436731,Area 10,01600,0,,0708-000001147,bed on blvd,Parks,,122,,20121016,"Blvd, 16 Ave & 142 St - NE corner",Boulevard,Parks,,Blvd - 16 Ave & 142 St - NE corner,,122-29,14200,,,OPERATING,20060203135900,,,,,,
494,,,Woody - A/B, ,,,,"Horticulture Bed; Cloverdale Athletic Park, 6330 168 St",1001436738,Area 7,06330,0,20051118,0708-000000672,north of entrance to 168 St parking lot,Parks,,076,,20121016,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,,Cloverdale Athletic Park,,076-01,16800,,,OPERATING,20060410164200,,,,,,
495,,,Woody - A/B, ,,,,"Horticulture Bed; Cloverdale Athletic Park, 6330 168 St",1001436739,Area 7,06330,0,20051118,0708-000000673,south of entrance to 168 St parking lot,Parks,,076,,20121016,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,,Cloverdale Athletic Park,,076-02,16800,,,OPERATING,20060410164500,,,,,,
496,,,Woody - A/B, ,,,,"Horticulture Bed; Sullivan Heights Park, 6322 144 St",1001437101,Area 8,06322,0,20051001,0708-000001182,at corner of 64 Ave & 144 St,Parks,,073,,20121016,"Sullivan Heights Park, 6322 144 St",Park,Parks,,Sullivan Heights Park,,073-03,14400,,,OPERATING,20070528101600,,,,,,
497,,,Woody - A/B, ,,,,"Horticulture Bed; Cloverdale Curling Rink Grounds, 6150 176 St",1001437102,Area 7,06150,0,20060209,0708-000000678,west side of rink,Parks,,077,,20121016,"Cloverdale Curling Rink Grounds, 6150 176 St",Land,Parks,,Cloverdale Curling Rink Grounds,,077-12,17600,,,OPERATING,20060419155300,,,,,,
498,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 152 St - Kildare Dr to 62a Ave - E side",1001437103,Area 7,06000,0,,0708-000000080,along blvd,Parks,,074,,20121016,"Blvd, 152 St - Kildare Dr to 62a Ave - E side",Boulevard,Parks,,Blvd - 152 St - Kildare Dr to 62a - E side,,074-02,15200,,,OPERATING,20061207075600,,,,,,
499,,,Mixed, ,,,20090309,"Horticulture Beds; Port Kells Library Grounds, 18885 88 Ave",1001437247,Area 7,18885,0,,0708-000000974,around library,Parks,,038,,20121016,"Port Kells Library Grounds, 18885 88 Ave",Land,Parks,,Port Kells Library Grounds,,038-01,08800,,,OPERATING,20020419112300,,,,,,
