,CONTAINER_TYPE,CONTAINER_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,CONTAINER_NO,SURFACE_TREATMENT,SERVICE_LEVEL,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,INSERVICE_DATE,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
1145,0,Dual,1001927414,,,2502068,,,In Service,,,Surrey,BS# 55128,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502068,,,104 Ave W of 152 St - S/Side ,,,,,,,,20170419,20171129,49.191344,-122.803285
1146,0,Dual,1001926723,,,2502035,,,In Service,,,Surrey,BS# 55536,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502035,,,72 Ave E of 132 St S/Side ,,,,,,,,20170413,20171129,49.133589,-122.856297
1147,0,Dual,1001926730,,,2502036,,,In Service,,,Surrey,BS# 55135,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502036,,,108 Ave W of Oriole Dr - N/Side ,,,,,,,,20170413,20171129,49.198820,-122.809237
1148,5,Ornamental,1001872241,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.038537,-122.818574
1149,5,Ornamental,1001872242,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.038528,-122.823747
1150,5,Ornamental,1001872243,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.038546,-122.829746
1151,2,Small Bin,1001872244,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.034848,-122.803252
1152,2,Small Bin,1001872245,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.031166,-122.796375
1153,1,Large Barrel,1001894306,"Litter Bin; Bakerview Park, 1845 154 St",,31,,2,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R124-01,,,,,,,,,,,"Bakerview Park, 1845 154 St",,,,,,,,20161013,20171211,49.035732,-122.796187
1154,2,Small Bin,1001872248,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.022192,-122.779126
1155,5,Ornamental,1001872249,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.020373,-122.779140
1156,5,Ornamental,1001872253,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.023359,-122.765742
1157,5,Ornamental,1001872255,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160421,20170523,49.028320,-122.771956
1158,5,Ornamental,1001875194,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160505,20170523,49.045679,-122.790728
1159,5,Ornamental,1001875195,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160505,20170523,49.045480,-122.789686
1160,5,Ornamental,1001875196,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160505,20170523,49.045671,-122.783225
1161,5,Ornamental,1001875197,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160505,20170523,49.045655,-122.779861
1162,5,Ornamental,1001875198,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160505,20170523,49.045441,-122.778303
1163,5,Ornamental,1001875522,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160506,20170523,49.045701,-122.768777
1164,5,Ornamental,1001875523,RDS-MAINT,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20160506,20170523,49.045534,-122.767366
1165,1,Large Barrel,1001895779,"Litter Bin; Sullivan Heights Park, 6322 144 St",,601,,3,In Service,,,Surrey,,Seasonal,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"Sullivan Heights Park, 6322 144 St",,,,,,,,20161101,20170612,49.118071,-122.822042
1166,1,Large Barrel,1001935558,"Litter Bin; T.E. Scott Park, 6998 148 St",1001895841,762,,3,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"T.E. Scott Park, 6998 148 St",,,,,,0,0,20170613,20170613,49.130039,-122.809438
1167,1,Large Barrel,1001894570,"Litter Bin; Bose Forest Park, 6203 164 St",,137,,3,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"Bose Forest Park, 6203 164 St",,,,,,,,20161018,20171013,49.115636,-122.767896
1168,0,Big Belly,1001951323,"Litter Bin; Bose Forest Park, 6203 164 St",1001894570,768,,3,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"Bose Forest Park, 6203 164 St",,,,,,0,0,20171013,20171013,49.115813,-122.766606
1169,1,Large Barrel,1001894305,"Litter Bin; Bakerview Park, 1845 154 St",,30,,2,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R124-02,,,,,,,,,,,"Bakerview Park, 1845 154 St",,,,,,,,20161013,20171211,49.035038,-122.797145
1170,0,Trash,1001081228,,,1507099,,,In Service,,2009,Surrey,BS# 55918,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,1507099,,,104 Ave E of Oak Gate S/Side,,Initial AB,,,,,,20090210,20171103,49.191505,-122.760826
1171,0,Trash,1001953810,,,1507102,,,In Service,,,Surrey,BS# 61497,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,1507102,,,157A St at 109 Ave E/Side,,,,,,,,20171103,20171103,49.200616,-122.785000
1172,0,Dual,1001927415,,,2502069,,,In Service,,,Surrey,BS# 59046,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502069,,,64 ave W of 168 St - N/Side ,,,,,,,,20170419,20171129,49.119012,-122.757099
1173,0,Dual,1001927416,,,2502951,,,In Service,,,Surrey,BS# 61189,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502951,,,Nordel Way East of 120 St S/Side ,,,,,,,,20170419,20171129,49.161856,-122.889498
1174,0,Dual,1001926736,,,2502040,,,In Service,,,Surrey,BS# 55862,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502040,,,160 St S of 88 Ave - W/Side ,,,,,,,,20170413,20171129,49.162411,-122.779018
1175,0,Dual,1001926743,,,2502044,,,In Service,,,Surrey,BS# 55125,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502044,,,108 Ave E of Oriole Dr - S/Side ,,,,,,,,20170413,20171129,49.198637,-122.808263
1176,0,Dual,1001926744,,,2502045,,,In Service,,,Surrey,BS# 55721,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502045,,,140 St S of Fraser Hwy - W/Side ,,,,,,,,20170413,20171129,49.178448,-122.834647
1177,0,Dual,1001926745,,,2502048,,,In Service,,,Surrey,BS# 55651,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502048,,,132 St N of 72 Ave - E/Side ,,,,,,,,20170413,20171129,49.133998,-122.856541
