,AAS_ID,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DATE_CLOSED,DATE_CONSTRUCTED,DESCRIPTION,DESIGNATION,DISASTER_RESPONSE_ROUTE,FACILITYID,GCNAME,GCPREDIR,GCROADS,GCSUFDIR,GCTYPE,GIS_ENTRY_STAGE,GREENWAY,INSERVICE_COST,INSERVICE_DATE,LEFTFROM,LEFTTO,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAJOR_ROAD_NETWORK,MAP_PAGE,MATERIAL,MOD_DATE,NO_LANE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PAVING_DATE,PROJECT_NO,RD_CLASS,RIGHTFROM,RIGHTTO,ROADCODE,ROAD_CENTRELINE_TYPE,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STATUS_DATE,STATUS_PARKS,STREETSWEEPING_ROUTE,STRUCTURES_INSPECTION_ROUTE,TRUCK_ROUTE,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
1021,699,,,,20060203,,,,,None,1000977318,143B,,143B ST,,ST,,,,,7477,7557,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,7472,7538,14370,0,Road,143B St,,50,Open,,,,,,,,,2006,,
1022,699,,,,20060203,,,,,None,1000977984,144,,144 ST,,ST,,,,,7551,7599,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,7550,7598,14400,0,Road,144 St,30,60,Open,,,,,,,,,2006,,
1023,187,,,,19880525,,,,,None,1000972658,143,,143 ST,,ST,,,,,7745,7799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,7752,7798,14300,0,Road,143 St,,50,Open,,,,,,,,,1988,,
1024,337,,,,19921102,,,,,None,1000983877,100,,100 AVE,,AVE,,,,,14401,14799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,14402,14798,10000,0,Road,100 Ave,30,60,Open,,,,,,,,,2000,,
1025,466,Offset Centreline Designation,,,20130813,,,,,None,1001608701,104A,,104A AVE,,AVE,,,,,14401,14611,1000975015,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,14402,14610,10450,0,Road,104A Ave,24,50,Open,,,,,,,,,1971,,
1026,466,,,,19870925,20050915,20030612,,,None,1000976020,105A,,105A AVE,,AVE,,,,,14401,14799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14402,14798,10550,0,Road,105A Ave,20,50,Open,,,,,,,,,1966,,
1027,600,,,,19870928,,,,,None,1000974441,PARK,,PARK DR,,DR,,,,,14337,14385,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14344,14384,11130,0,Road,Park Dr,,50,Open,,,,,,,,,1974,,
1028,657,,,,19871015,,,,,None,1000980934,18A,,18A AVE,,AVE,,,,,14501,14599,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14502,14598,01850,0,Road,18A Ave,,50,Open,,,,,,,,,1985,,
1029,657,,,,19931004,,,,,None,1000980142,146,,146 ST,,ST,,,,,1751,1799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,1752,1798,14600,0,Road,146 St,,50,Open,,,,,,,,,1978,,
1030,657,,,,19871015,,,,,None,1000982666,146,,146 ST,,ST,,,,,1701,1749,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,1702,1748,14600,0,Road,146 St,,50,Open,,,,,,,,,1978,,
1031,149,,,,20060510,20050915,20061030,,,None,1000984687,28,,28 AVE,,AVE,,,,,14599,14799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,14598,14798,02800,0,Road,28 Ave,24,50,Open,,,,,,,,,2015,,
1032,592,,,,20021218,,,,,None,1000980228,34,,34 AVE,,AVE,,,,,14551,14611,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,14552,14612,03400,0,Road,34 Ave,24,50,Open,,,,,,,,,2002,,
1033,592,,,,19870817,,,,Translink,Secondary,1000979740,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,3541,3599,,,,Engineering,Yes,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,3540,3598,13601,0,Road,King George Blvd,48,60,Open,,,TRANSLINK - T5/T3 CURBS,,Dangerous Goods Routes,,,,2000,,
1034,587,,,,19910905,,,,,None,1000982028,146,,146 ST,,ST,,,,,5613,5699,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,5614,5698,14600,0,Road,146 St,,50,Open,,,,,,,,,2009,,
1035,587,,,,19910905,,,,,None,1000978696,146,,146 ST,,ST,,,,,5701,5799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,5702,5798,14600,0,Road,146 St,,50,Open,,,,,,,,,2004,,
1036,465,,,,19870831,20050915,20030612,,,None,1000975514,146,,146 ST,,ST,,,,,6205,6399,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,6206,6398,14600,0,Road,146 St,,50,Open,,,,,,,,,2006,,
1037,519,,,,19980526,,,,,None,1000983408,146,,146 ST,,ST,,,,,7339,7393,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,7340,7388,14600,0,Road,146 St,,50,Open,,,,,,,,,1998,,
1038,142,,,,20030526,,,,,None,1000983553,148,,148 ST,,ST,,,,,2801,2847,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,2802,2846,14800,0,Road,148 St,30,50,Open,,,,,,,,,1996,,
1039,97,,,,19870831,,,,,None,1000974405,57,,57 AVE,,AVE,,,,,14651,14725,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14652,14724,05700,0,Road,57 Ave,,50,Open,,,,,,,,,2008,,
1040,587,,,,19870831,,,,,None,1000982928,59,,59 AVE,,AVE,,,,,14801,14849,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14802,14848,05900,0,Road,59 Ave,,50,Open,,,,,,,,,2002,,
1041,539,,,,19960124,,,,,None,1000973226,58,,58 AVE,,AVE,,,,,14801,14899,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,14802,14898,05800,0,Road,58 Ave,24,50,Open,,,,,,,,,1996,,
1042,742,,,,20110513,,,,,,1001197734,62A,,62A AVE,,AVE,Initial AB,,,,14851,14889,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14852,14888,06250,0,Road,62A Ave,,50,Open,,,,,,,,,2011,,
1043,368,,,,20050915,20050915,20030822,,,None,1000973627,72A,,72A AVE,,AVE,,,,,14823,14859,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14824,14860,07250,0,Road,72A Ave,,50,Open,,,,,,,,,2003,,
1044,84,,,,19870904,,,,,None,1000977360,148,,148 ST,,ST,,,,,8601,8669,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,8602,8668,14800,0,Road,148 St,24,50,Open,,,,,,,,,1988,,
