,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_TOTE,NO_OF_UNITS
73,10282 132 ST,Thursday,MATTHEW PARK,20140204,20170616,3,16
74,9155 136A ST,Thursday,EVELYN ESTATES,20140204,20170616,6,30
75,13475 96 AVE,Thursday,IVY CREEK,20140204,20170616,3,43
76,9682 134 ST,Thursday,PARKSWOOD ELM,20140204,20170616,6,72
77,13501 96 AVE,Thursday,PARKSWOOD,20140204,20170616,12,72
78,9251 122 ST,Thursday,KENSINGTON GATE,20140204,20170616,15,100
79,9632 120A ST,Thursday,CHANDLERS HILL,20140204,20170616,3,48
80,10743 139 ST,Thursday,VISTA RIDGE NORTH,20140204,20170616,3,44
81,10720 138 ST,Thursday,VISTA RIDGE SOUTH,20140204,20170616,3,32
82,13733 107A AVE,Thursday,QUATTRO,20140204,20170616,8,140
83,10499 UNIVERSITY DR,Thursday,D'COR,20140204,20170616,3,72
84,10455 UNIVERSITY DR,Thursday,D'ACOR,20140204,20170616,3,68
85,13918 72 AVE,Tuesday,UPTON PLACE (NORTH),20140204,20170616,9,60
86,3323 151 ST,Thursday,HARVARD GARDENS LTD,20140904,20170616,7,86
87,10340 127A ST,Thursday,,20170616,20170616,,
88,10363 127B ST,Thursday,,20170616,20170616,,
89,10360 127A ST,Thursday,,20170616,20170616,,
90,10341 127B ST,Thursday,,20170616,20170616,,
91,10320 127A ST,Thursday,,20170616,20170616,,
92,10281 128A ST,Thursday,,20170616,20170616,,
93,9838 WHALLEY BLVD,Thursday,,20170616,20170616,,
94,10135 131 ST,Thursday,,20170616,20170616,,
95,10620 150 ST,Friday,LINCOLN GATE,,20171018,30,336
96,7155 134 ST,Tuesday,EAGLE GLEN,,20170616,5,19
97,13837 100 AVE,Friday,CARRIAGE LANE EST,,20170616,16,144
98,9699 152B ST,Wednesday,JOHNSON COURT,,20170616,3,30
99,11075 136 ST,Thursday,RIVERVIEW APTS,,20170616,3,12
100,8110 120A ST,Tuesday,MAINSTREET,,20170616,3,67
101,19366 65 AVE,Wednesday,LIBERTY,,20170616,6,104
102,13959 16 AVE,Monday,WESTMINSTER HOUSE,,20170616,6,67
103,13609 76 AVE,Tuesday,EPSON DAWNS,,20170616,9,1
104,19320 65 AVE,Wednesday,THE ESPRIT,,20170616,6,104
105,8220 121A ST,Tuesday,BARKERVILLE,,20170616,9,44
106,10515 138 ST,Thursday,,,20170616,3,1
107,10082 148 ST,Friday,THE STANLEY,,20170616,20,424
108,5750 174 ST,Wednesday,STETSON VILLAGE COMPLEX,,20170616,9,24
109,13550 HILTON RD,Thursday,THE SUMMIT,,20170616,3,27
110,12890 17 AVE,Monday,OCEAN PARK,,20170616,6,54
111,13270 105A AVE,Thursday,REGENCY MANOR,,20170616,3,80
112,1828 LILAC DR,Monday,LILAC GREEN,,20170616,6,35
113,7760 120 ST,Tuesday,WINSOME PLACE,,20170616,4,70
114,1787 154 ST,Monday,THE MADISON,,20170616,12,89
115,10138 WHALLEY BLVD,Thursday,FRASER COURT APTS,,20170616,6,153
116,10082 132 ST,Thursday,MELROSE COURT,,20170616,3,75
117,15272 20 AVE,Monday,WINDSOR COURT,,20170616,3,36
118,15350 105 AVE,Friday,ARBORETUM,,20170616,6,35
119,8115 121A ST,Tuesday,THE CROSSINGS,,20170616,4,66
120,15255 18 AVE,Monday,COURTYARD,,20170616,4,43
121,12725 63 AVE,Tuesday,NEWTON GREEN,,20170616,6,52
122,15077 20 AVE,Monday,PENINSULA HOUSING,,20180125,14,70
123,13723 CRESCENT RD,Monday,STEWART FARM,,20180125,2,1
124,2167 152 ST,Monday,MUIRFIELD GARDENS,,20180125,5,38
125,15722 MCBETH RD,Monday,ALDERWOOD,,20180125,39,152
126,15282 19 AVE,Monday,PARKVIEW,,20180125,6,78
127,2151 151A ST,Monday,KUMAKEN APTS,,20180125,3,34
128,1720 SOUTHMERE CR,Monday,CAPSTON WAY,,20180125,8,51
129,1850 SOUTHMERE CR E,Monday,SOUTHMERE PLACE,,20180125,21,170
130,1840 SOUTHMERE CR,Monday,SOUTHMERE PLACE,,20180125,3,42
131,15110 26 AVE,Monday,SUNNYSIDE VILLAS,20131113,20180125,1,20
132,2088 152 ST,Monday,PENNINSULA RESORT RETIREMENT,20131113,20180125,6,127
133,15145 36 AVE,Monday,EDGEWATER,20131114,20180125,6,51
134,2229 152 ST,Monday,SEMIAHMOO COURT,20170616,20180125,1,
135,1367 128 ST,Monday,KWOMAIS LODGE,20180125,20180125,2,
136,1845 154 ST,Monday,SUNNYSIDE HALL,20180125,20180125,1,
137,12160 BEECHER ST,Monday,BEECHER PLACE,20180125,20180125,1,
138,3530 144 ST,Monday,ELGIN CENTRE,20180125,20180125,1,
139,15060 66A AVE,Tuesday,HARVEST LANE,,20180125,3,8
