,CRE_DATE,MOD_DATE,PLAN_NO,PLAN_NO_ID
854,,,T-47221,78902
855,,,58043,77142
856,,,53411,77120
857,,,LMP 33412,78468
858,,,65756,77219
859,,,LMP 10295,78372
860,,,LMP 39716,78490
861,,,85297,77415
862,,,P.P. 146-2,77083
863,,,N-5501,78573
864,,,62262,77178
865,,,D-70677,77838
866,,,43646,77095
867,,,PP147-02,77085
868,,,PP147-01,77084
869,,,P.P. 126-1,77076
870,,,P-99868,78671
871,,,K-112393,78247
872,,,M-70981,78557
873,,,Y-136233,79181
874,,,25497,77090
875,20140429,20140429,PPBCP40651,84545
876,,,F-20374,77924
877,,,75437,77263
878,,,N-116164,78629
879,,,62257,77176
880,,,M-61359,78556
881,,,R-127707,78779
882,,,LMP 40132,78491
883,,,M-51575,78552
884,,,E-10783,77861
885,,,U-74791,79023
886,,,P.P. 27-1,77017
887,,,BE-192483,77695
888,20140429,20140429,PPBCP40521,84541
889,20131126,20131126,PPBCP37826,83728
890,20160823,20160823,EPP63774,38315
891,20150506,20150506,PPLMP23826,37374
892,,,76603,77273
893,,,85277,77411
894,,,A-6836,77482
895,,,R-79817,78737
896,,,Y-169261,79187
897,,,F-37160,77936
898,,,BCP 19920,
899,,,D-81993,77846
900,,,R-55128,78720
901,20121126,20121126,PPEPP25776,81732
902,20140204,20140204,PPBCP38595,83979
903,,,83610,77388
904,,,Y-9111,79152
905,,,H-110210,78065
906,,,B-61403,77573
907,,,X-55391,79114
908,,,F-50841,77946
909,,,25907,
910,,,83782,77394
911,,,W-139183,79091
912,,,K-14126,78160
913,20160121,20160121,PPLMP18763,37885
914,,,U-14673,78990
915,,,LMP 50890,
916,,,64041,77202
917,,,K-58921,78187
918,,,82473,77373
919,,,76122,77268
920,,,P-66740,78665
921,,,76969,77285
922,,,L-67490,78293
923,,,T-108498,78962
924,,,79809,77317
925,,,80709,77337
926,,,U-86754,79026
927,20171123,20171123,EC-110-182,39124
928,,,G-48446,77986
929,,,G-23729,77976
930,,,85276,77410
931,,,R-5165,78685
932,,,N-119097,78631
933,,,LMP 11567,78383
934,,,LMP 26268,78431
935,,,J-156023,78147
936,,,N-50107,78586
937,,,L-10154,78265
938,,,LMP 4046,78342
939,,,R-21437,78702
940,,,K-78320,78207
941,20130702,20130702,PPEPP31533,82853
942,,,BE-63606,77684
943,,,K-58918,78185
944,,,R-107078,78761
945,,,C-17077,77736
946,,,A-54817,77513
947,,,U-5047,
948,,,L-20560,78270
949,20140514,20140514,PPBCP43202,84610
950,,,P-54168,78658
951,,,B-23595,77544
952,,,S-6863,78809
953,,,B-4050,77521
954,,,E-7096,77860
955,,,Y-108172,79171
956,,,K-64845,78198
957,,,LMP 3913,78341
958,,,85155,77409
959,,,H-133665,78075
960,,,K-36307,78173
