,BIKE_INFRASTRUCTURE_TYPE,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,FACILITYID,HABITAT,INSERVICE_COST,INSERVICE_DATE,LENGTH,LOCATION,MATERIAL,OPERATOR,PROJECT_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,WIDTH,YR
637,Boulevard Separated Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001402315,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,
638,, ,Multi-use,BC Parkway,Greenway,1001359484,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
639,,,Multi-use,Port Mann Greenway,Greenway,1001404235,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2012
640,Boulevard Multi-Use Pathway, ,Multi-use,Sunnyside Greenway,Greenway,1001726511,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
641,Off-Street Multi-Use Pathway, ,Multi-use,Nicomekl Greenway,Greenway,1001422935,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,No,,2009
642,Boulevard Multi-Use Pathway,,Multi-use,Nicomekl Greenway,Greenway,1001422932,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
643,, ,Multi-use,Elgin Greenway,Greenway,1001935123,,,,,,Other,Engineering,7815-0102-00,Multi-use Pathway,Proposed,,4,2016
644,,Previous duplicate FACILITYID 1001403095,Multi-use,Elgin Greenway,Greenway,1001563798,,,,0,,Other,Engineering,,Multi-use Pathway,Proposed,,,
645,,,Multi-use,Pioneer Greenway,Greenway,1001954845,,,,,,,Engineering,,Multi-use Pathway,In Service,No,,2009
646,, ,Multi-use,Elgin Greenway,Greenway,1001403095,,,,,,Other,Engineering,7814-0299-00,Multi-use Pathway,Proposed,,4,2016
647,Off-Street Multi-Use Pathway,,Multi-use,Pioneer Greenway,Greenway,1001402215,,,,,,Asphalt,Engineering,3809-6100-00,Multi-use Pathway,In Service,No,,2011
648,, ,Multi-use,Panorama Greenway,Greenway,1001402957,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
649,Boulevard Multi-Use Pathway,,Multi-use,Newton Greenway,Greenway,1001402843,,,,,,Asphalt,Engineering,3808-6050-00,Multi-use Pathway,In Service,No,,2012
650,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001859272,,,,,from 100 Ave south through site to Fraser Hwy,Asphalt,Parks,3805-6070-00,Multi-use Pathway,In Service,,,2007
651,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001402475,,0,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
652,Off-Street Multi-Use Pathway,,Multi-use,Bon Accord Greenway,Greenway,1001950828,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
653,,,Multi-use,Guildford Greenway,Greenway,1001404227,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2012
654,Boulevard Multi-Use Pathway,,Multi-use,Hawthorne Greenway,Greenway,1001402623,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
655,, ,Multi-use,Quibble Creek Greenway,Greenway,1001402903,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
656,Neighbourhood Bike Route,Bon Accord Pedestrian Bridge,Transportation,Port Mann - City Centre,Greenway,1001843566,,,,,,,,3813-6020-00,Bike Route,In Service,,,2015
657,,,Multi-use,Semiahmoo Trail,Greenway,1001403086,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
658,Off-Street Multi-Use Pathway,,Multi-use,Semiahmoo Trail,Greenway,1001402934,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
659,Boulevard Multi-Use Pathway,,Multi-use,Rosemary Greenway,Greenway,1001402217,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
660,Boulevard Multi-Use Pathway,,Multi-use,Oliver Greenway,Greenway,1001402968,,,,,,Asphalt,Engineering,7808-0254-00,Multi-use Pathway,In Service,No,,2013
661,Off-Street Multi-Use Pathway,,Multi-use,Wills Brook Greenway,Greenway,1001896370,,,,,,Asphalt,Engineering,7814-0258-00,Multi-use Pathway,Proposed,,,
662,,,Multi-use,Pioneer Greenway,Greenway,1001403245,,,,,,Asphalt Concrete,Engineering,7807-0127-00,Multi-use Pathway,Proposed,No,4,2013
663,Boulevard Multi-Use Pathway,,Multi-use,Oliver Greenway,Greenway,1001791309,,,,,,Asphalt,Engineering,7813-0083-00,Multi-use Pathway,In Service,No,4,2015
664,Boulevard Multi-Use Pathway,,Multi-use,Pioneer Greenway,Greenway,1001402222,,,,,,Asphalt,Engineering,7806-0137-00,Multi-use Pathway,In Service,No,,2009
