,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LOCATION,MAP_NO,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,STATUS,WARRANTYDATE,WATER_BODY_TYPE,YR
37,,,,20100728,1001168653,Final AB,,,102,20111114,Nico Wynd GC Pond,Private,,C,In Service,,Wet Detention Pond,
38,,,,20100728,1001168654,Final AB,,,102,20111114,Nico Wynd GC Pond,Private,,C,In Service,,Wet Detention Pond,
39,,,,20100728,1001168655,Final AB,,,102,20111114,Nico Wynd GC Pond,Private,,B,In Service,,Lake,
40,,,,20100728,1001168656,Final AB,,,102,20111114,Nico Wynd GC Pond,Private,,C,In Service,,Wet Detention Pond,
41,,,,20100728,1001168657,Final AB,,,102,20111114,Nico Wynd GC Pond,Private,,C,In Service,,Wet Detention Pond,
42,Upper Titman,,,20111115,1001220454,Final AB,,3075 156 St,114,20111115,Above Ground Municipal DP,Surrey,7806-0137-00,B,In Service,,Wet Detention Pond,2011
43,Golf Course Lakes,,,20101119,1001182438,Final AB,,164 St & 32A Ave,105,20111114,Golf Course Lake,Surrey,,C,In Service,,Wet Detention Pond,
44,"As Per Apr 6, 2011 Engineering ERC",,,20110519,1001198261,,,,117,20111114,Wetland,Private,,B,In Service,,Wetlands,
45,,,,20111114,1001219757,Final AB,,NE of Colebrook Park,081,20121003,Farmland Ponds,Private,,C,In Service,,Other,2011
46,,,,20110711,1001203873,,,,,20111114,Lower Erickson Pond,Private,,A,In Service,,Lake,
47,,,,20111114,1001220159,Final AB,,Chantrell Park ,112,20130109,Chantrell DP South,Surrey,4895-6020-00,A,In Service,,Lake,1995
48,,,,20120118,1001356750,Initial AB,,,084,20150923,,Surrey,1708-3080-00,C,In Service,,Wet Detention Pond,2015
49,,,,20111114,1001220162,Final AB,,,111,20171213,,Surrey,,C,In Service,,Lake,2011
50,,,,20111110,1001219653,Final AB,,,079,,,Surrey,,C,In Service,,Lake,2011
51,,,,20111114,1001220258,Final AB,,1440 184 St,138,20111114,Private Pond,Surrey,,B,In Service,,Lake,2011
52,,,,20110519,1001198294,,,,128,20111114,Twin Crk Lake,Private,,A,In Service,,Lake,
53,,,,20111114,1001220295,Final AB,,215 184 St,147,20111114,Private Pond,Private,,B,In Service,,Lake,2011
54,,,,20111114,1001220307,Final AB,1001220295,215 184 St,147,20111114,Private Pond,Private,,B,In Service,,Lake,2011
55,,,,20111114,1001220313,Final AB,,,148,20111114,Private Pond,Private,,B,In Service,,Lake,2011
56,,,,20111114,1001220314,Final AB,,,148,20111114,Private Pond,Private,,B,In Service,,Lake,2011
57,,,,20111114,1001220315,Final AB,,,148,20111114,Private Pond,Private,,B,In Service,,Lake,2011
58,,,,20110519,1001198299,,,,148,20111114,Jenkins Lake,Surrey,,A,In Service,,Lake,
59,Hazelmere GC,,,20100708,1001166790,Final AB,,,147,20111114,Golf Course Pond,Private,,C,In Service,,Wet Detention Pond,
60,,,,20110607,1001200232,,,,146,20111114,The Glades Pond 1,Surrey,,A,In Service,,Lake,
61,,,,20110607,1001200233,,,,146,20111114,The Glades Pond 2,Surrey,,A,In Service,,Lake,
62,,,,20110607,1001200234,,,,146,20111114,,Private,,B,In Service,,Lake,
63,,,,20110607,1001200235,,,,146,20111114,,Private,,B,In Service,,Lake,
64,,,,20130109,1001562627,Initial AB,,,089,20130109,,Surrey,,A,In Service,,Lake,
65,"As Per July 20, 2011 Engineering ERC",,,20110817,1001209718,,,Fraser Hwy & 192 St NW Lots,068,20111110,McLellan Crk Ponds,Private,,B,In Service,,Lake,
