,STRUCTURE_TYPE,STRUCTURE_TYPE2,DESCRIPTION,LOCATION,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,COMPONENT_TYPE,SURFACE_MATERIAL,WINTERIZED,LENGTH_M,HOUSE_NO,STATUS,STATUS_DATE,PARK_OWNERSHIP,INSERVICE_DATE,INSERVICE_COST,CONDITION,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,Latitude,Longitude
2346,1,Gates,"Bollard; Unwin Park, 13313 - 68 Ave",NW corner of parking lot on 68 Ave,Bollard,,Metal,,,,,,,,,,,,13313,OPERATING,,,,0,,,,,"Unwin Park, 13313 68 Ave",Park,49.126769,-122.853900
2347,0,Benches and Bleachers,"Bench; Fleetwood Park, 15802 80 Ave","south of water playground, bench ref # 22",,,Metal,,Bench,N,,Basic,3,,,,,,15802,OPERATING,20110301162000,,20110228,0,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147688,-122.782757
2348,0,Benches and Bleachers,"Bench; Clayton Dog-Off-Leash Park, 7011 188 St","in small dog area, bench ref # 1",,,Metal,,Bench,N,,Basic,3,,,,,,07011,OPERATING,20110407143300,,20090828,0,,,,,"Clayton Dog-Off-Leash Park, 7011 188 St",Park,49.130623,-122.702241
2349,0,Benches and Bleachers,"Bench; Clayton Dog-Off-Leash Park, 7011 188 St","in small dog area, bench ref # 2",,,Metal,,Bench,N,,Basic,3,,,,,,07011,OPERATING,20110407143500,,20090828,0,,,,,"Clayton Dog-Off-Leash Park, 7011 188 St",Park,49.130482,-122.702568
2350,0,Benches and Bleachers,"Bench; Clayton Dog-Off-Leash Park, 7011 188 St","in large dog area, bench ref # 3",,,Metal,,Bench,N,,Basic,3,,,,,,07011,OPERATING,20110407143500,,20090828,0,,,,,"Clayton Dog-Off-Leash Park, 7011 188 St",Park,49.130386,-122.702506
2351,0,Benches and Bleachers,"Bench; Blackie Spit, 3136 McBride Ave","In the park, bench ref # 18",,,Wood,,Bench,Y,,Log,,,,,,,03136,OPERATING,20061017130100,,19990101,0,,,20090101,,"Blackie Spit, 3136 McBride Ave",Park,49.059617,-122.881946
2352,0,Benches and Bleachers,"Permanent Wood Bench; Unwin Park, 13313 - 68 Ave",Water Playground,,,,0,Bench,,,,0,,,,,,13313,OPERATING,,,,0,,,,,"Unwin Park, 13313 68 Ave",,49.127042,-122.853808
2353,0,Benches and Bleachers,"Bench; Bear Creek Park, 13750 88 Ave","In gardens, bench ref # 44",,,Metal,,Bench,Y,,Cast,,,,,,,13750,OPERATING,20090720150200,,20001231205436,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.158994,-122.838573
2354,0,Benches and Bleachers,"Bench; Morgan Heights Linear Park, 16151 25 Ave","In the park, bench ref # 1",,,,,Bench,,,Basic,,,,,,,16151,OPERATING,,,20141015,,,,,,"Morgan Heights Linear Park, 16151 25 Ave",Park,49.048163,-122.774770
2355,0,Benches and Bleachers,"Bench; Chimney Hill Park - 53A, 15070 - 76 Ave",in playground # 2,,,,,Bench,,,,,,,,,,15070,OPERATING,,,20140306,,,,,,"Chimney Hill Park, 15070 76 Ave",,49.137896,-122.802575
