,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESIGNATION,FACILITYID,GIS_ENTRY_STAGE,GREENWAY,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROJECT_NO,STATUS,WARRANTYDATE,WIDTH,YR,YTD_COST
14601,,,,20170124,Residential,1001903875,,No,1001062525,0,Arterial,Concrete,20180410,Surrey,,In Service,,,2013,0
14602,,,,20170222,Residential,1001907866,,No,1001074242,0,,,20180410,Surrey,,In Service,,,1994,0
14603,,,,20151116,Residential,1001757816,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0269-00,In Service,,1.5,2015,
14604,,,,20151113,Residential,1001757817,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0269-00,In Service,,1.5,2015,
14605,,,,20151116,Residential,1001757889,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0269-00,In Service,,1.5,2015,
14606,,,,20151113,Residential,1001757911,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0269-00,In Service,,1.5,2015,
14607,,,,20160224,Residential,1001756925,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0175-00,In Service,,1.5,2015,
14608,,,,20161219,Residential,1001757040,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0106-00,In Service,,1.5,2016,
14609,,,,20160831,Residential,1001834542,Final AB,No,,,Collector,Concrete,20180413,Surrey,7812-0323-00,In Service,,2,2016,
14610,,,,20160831,Residential,1001834546,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0323-00,In Service,,1.5,2016,
14611,,,,20160831,Residential,1001834547,Final AB,No,,,Collector,Concrete,20180413,Surrey,7812-0323-00,In Service,,2,2016,
14612,,,,20160831,Residential,1001834550,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0323-00,In Service,,2,2016,
14613,,,,20170406,Residential,1001834680,Final AB,No,,,Collector,Concrete,20180413,Surrey,3814-6150-00,In Service,,1.7000000476837158,2015,
14614,,,,20170407,Residential,1001834724,Final AB,No,,,Local,Concrete,20180413,Surrey,1712-6300-00,In Service,,1.5,2015,
14615,,,,20170407,Residential,1001834727,Final AB,No,,,Local,Concrete,20180413,Surrey,1712-6300-00,In Service,,1.5,2015,
14616,,,,20170410,Residential,1001834755,Final AB,No,,,Arterial,Concrete,20180413,Surrey,1712-6180-00,In Service,,1.5,2015,
14617,,,,20170410,Residential,1001834761,Final AB,No,1001834759,0,Arterial,Concrete,20180413,Surrey,1712-6180-00,In Service,,2,2015,0
14618,,,,20170410,Residential,1001834768,Initial AB,No,,0,Local,Concrete,20180413,Surrey,3815-6010-00,In Service,,2,2015,0
14619,,,,20170410,Commercial,1001834748,Final AB,No,,,Arterial,Concrete,20180413,Surrey,1712-6180-00,In Service,,1.7999999523162842,2015,
14620,,,,20150817,Residential,1001834774,Final AB,No,,,Local,Concrete,20180413,Surrey,7808-0302-00,In Service,,1.5,2015,
14621,,,,20171101,Residential,1001835007,Final AB,No,,,Local,Concrete,20180413,Surrey,7814-0070-00,In Service,,1.5,2017,
14622,Temporary,,,20171101,Residential,1001835021,Final AB,No,,,Local,Asphalt,20180413,Surrey,7814-0070-00,In Service,,1.5,2017,
14623,,,,20160824,Residential,1001835093,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0208-00,In Service,,1.5,2016,
14624,,,,20160824,Residential,1001835101,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0208-00,In Service,,1.5,2016,
14625,,,,20160824,Residential,1001835103,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0208-00,In Service,,2,2016,
14626,,,,20160824,Residential,1001835104,Final AB,No,1001835103,0,Local,Concrete,20180413,Surrey,7812-0208-00,In Service,,2,2016,0
14627,,,,20160824,Residential,1001835123,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0208-00,In Service,,2,2016,
14628,,,,20160824,Residential,1001835125,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0208-00,In Service,,2,2016,
14629,,,,20150825,Residential,1001835595,,No,1001563768,0,Local,Asphalt,20180413,Surrey,,In Service,,1.5,2012,0
14630,,,,20151123,Residential,1001847653,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0120-00,In Service,,1.5,2015,
14631,,,,20151123,Residential,1001847654,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0120-00,In Service,,1.5,2015,
14632,,,,20151123,Residential,1001847727,Initial AB,No,,,Local,,20180413,Surrey,7805-0126-00,In Service,,1.5,2010,
14633,,,20180213,20151126,Commercial,1001848549,,No,1001063051,0,Local,Concrete,20180413,Surrey,,In Service,,1.5,2012,0
14634,,,,20151127,Residential,1001848599,Final AB,No,,,Local,Asphalt,20180413,Surrey,7813-0226-00,In Service,,1.5,2015,
14635,,,,20151202,Commercial,1001849272,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0159-00,In Service,,1.5,2015,
14636,,,,20151202,Commercial,1001849286,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0159-00,In Service,,1.5,2015,
14637,,,,20151202,Commercial,1001849433,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0159-00,In Service,,1.5,2015,
14638,,,,20151202,Commercial,1001849472,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0159-00,In Service,,1.5,2015,
14639,,,,20151202,Residential,1001849204,,No,,,Local,Concrete,20180413,Surrey,,In Service,,5,2014,
14640,,,20180214,20151202,Commercial,1001849495,Final AB,No,,,Local,Concrete,20180413,Surrey,7812-0159-00,In Service,,1.5,2015,
14641,,,,20151203,Residential,1001849670,Final AB,No,1001595793,0,Local,Concrete,20180413,Surrey,7810-0091-00,In Service,,1.5,2014,0
14642,Digitized Via 2013 Air Photo,,,20151207,Residential,1001849819,,No,,,Local,Concrete,20180413,Surrey,,In Service,,1.5,2010,
14643,,,,20151209,Residential,1001850075,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0226-00,In Service,,1.5,2015,
14644,,,,20151209,Residential,1001850076,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0226-00,In Service,,1.5,2015,
14645,,,,20151209,Residential,1001850077,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0226-00,In Service,,1.5,2015,
14646,,,,20151210,Residential,1001850084,Final AB,No,1001776569,0,Local,Concrete,20180413,Surrey,7813-0184-00,In Service,,2,2014,0
14647,,,,20151211,Residential,1001850241,Final AB,No,,,Local,Concrete,20180413,Surrey,7809-0220-00,In Service,,1.5,2015,
