,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
182,2,Riser Pocket,1000075126,28150,1268211382,63,PVC Plastic,0.94,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.209014,-122.870180
183,2,Riser Pocket,1000075127,28151,1270911383,75,PVC Plastic,1.17,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.209016,-122.869454
184,2,Riser Pocket,1000075128,28152,1273611383,75,PVC Plastic,1.14,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.209018,-122.868691
185,2,Riser Pocket,1000075129,28153,1276211383,75,PVC Plastic,0.99,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.209020,-122.867969
186,2,Riser Pocket,1000074980,24365,1288911474,150,PVC Plastic,0.88,,,,In Service,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051109,,1,0,49.210595,-122.864480
187,2,Riser Pocket,1000075160,28192,1269011509,63,PVC Plastic,0.69,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211304,-122.869952
188,2,Riser Pocket,1000075161,28193,1271511509,75,PVC Plastic,0.73,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211306,-122.869287
189,2,Riser Pocket,1000075162,28194,1274511509,75,PVC Plastic,0.69,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211308,-122.868459
190,2,Riser Pocket,1000075163,28195,1277611509,75,PVC Plastic,0.73,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211310,-122.867592
191,2,Riser Pocket,1000075164,28197,1277811525,75,PVC Plastic,0.76,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211593,-122.867531
192,2,Riser Pocket,1000075165,28198,1266911540,63,PVC Plastic,0.46,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211864,-122.870556
193,2,Riser Pocket,1000075166,28199,1269611540,63,PVC Plastic,0.46,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211866,-122.869793
194,2,Riser Pocket,1000075167,28200,1272711540,75,PVC Plastic,0.46,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211868,-122.868946
195,2,Riser Pocket,1000075168,28201,1275811540,75,PVC Plastic,0.08,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211871,-122.868099
196,2,Riser Pocket,1000075169,28203,1277911541,150,PVC Plastic,0.09,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051128,,1,0,49.211872,-122.867492
197,2,Riser Pocket,1000075170,28205,1268511548,63,PVC Plastic,0.47,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051129,,1,0,49.212016,-122.870110
198,2,Riser Pocket,1000075171,28206,1271011548,63,PVC Plastic,0.53,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051129,,1,0,49.212018,-122.869397
199,2,Riser Pocket,1000075062,22690,1290311548,150,PVC Plastic,0.77,0.95,,,In Service,7899-0159-00,2002,Surrey,,,,,,,,,,20051105,,1,0,49.212005,-122.864093
200,2,Riser Pocket,1000075063,22691,1290311548,150,PVC Plastic,0.77,0.95,,,In Service,7899-0159-00,2002,Surrey,,,,,,,,,,20051105,,1,0,49.212001,-122.864089
201,2,Riser Pocket,1000075064,22692,1291611513,150,PVC Plastic,1.1,1.28,,,In Service,7899-0159-00,2002,Surrey,,,,,,,,,,20051105,,1,0,49.211373,-122.863714
202,2,Riser Pocket,1000074628,28127,1278711334,100,PVC Plastic,0.46,,,,Abandoned,4515,1978,Surrey,,,,,,,,,,20051124,20080728,0,0,49.208138,-122.867280
203,2,Riser Pocket,1000074629,28128,1278811364,100,PVC Plastic,0.46,,,,Abandoned,4515,1978,Surrey,,,,,,,,,,20051124,20080728,0,0,49.208673,-122.867254
204,2,Riser Pocket,1000074624,28123,1259611634,75,PVC Plastic,0.85,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20141030,0,0,49.213568,-122.872553
205,2,Riser Pocket,1000075069,27731,1279311635,75,PVC Plastic,0.46,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213586,-122.867103
206,2,Riser Pocket,1001140627,,1277211624,75,PVC Plastic,,,,,Abandoned,F/T,2009,Surrey,,,,,,,,,,20091118,20100423,0,0,49.213390,-122.867699
207,2,Riser Pocket,1001160821,,1253311409,150,PVC Plastic,,,,,In Service,,1978,Surrey,,,Final AB,,,,,,,20100518,20100617,1,0,49.209509,-122.874301
